Date	Year	Team	Player	Notes
12/17/2017	2017	Pistons	Avery Bradley	strained right adductor (DTD)
12/17/2017	2017	Raptors	C.J. Miles	returned to lineup
12/17/2017	2017	Warriors	Shaun Livingston	sore right knee (DTD)
12/17/2017	2017	Warriors	Nick Young	returned to lineup
12/17/2017	2017	Wizards	Otto Porter Jr.	hip injury / bruised right thigh (DTD)
12/17/2017	2017	76ers	Furkan Korkmaz	left foot injury (out indefinitely)
12/18/2017	2017	Clippers	Lou Williams	sprained left / right foot (DTD)
12/18/2017	2017	Clippers	Wesley Johnson	sore left foot (DTD)
12/18/2017	2017	Heat	Goran Dragic	sore left elbow (DTD)
12/18/2017	2017	Heat	James Johnson	bursitis in right ankle (DTD)
12/18/2017	2017	Hornets	Julyan Stone	returned to lineup
12/18/2017	2017	Jazz	Derrick Favors	concussion (DTD)
12/18/2017	2017	Rockets	Clint Capela	returned to lineup
12/19/2017	2017	Bucks	Tony Snell	returned to lineup
12/19/2017	2017	Lakers	Brook Lopez	sprained right ankle (DTD)
12/20/2017	2017	Clippers	Lou Williams	returned to lineup
12/20/2017	2017	Jazz	Donovan Mitchell	bruised right big toe (DTD)
12/20/2017	2017	Mavericks	Dennis Smith Jr.	returned to lineup
12/20/2017	2017	Rockets	Clint Capela	bruised left heel (DTD)
12/20/2017	2017	Spurs	Tony Parker	rest (DTD)
12/20/2017	2017	Spurs	Danny Green	returned to lineup
12/21/2017	2017	Blazers	Damian Lillard	strained right hamstring (DTD)
12/21/2017	2017	Cavaliers	J.R. Smith	sore left knee (DTD)
12/21/2017	2017	Celtics	Jaylen Brown	sore left Achilles (DTD)
12/21/2017	2017	Jazz	Nate Wolters	sore lower back (DTD)
12/21/2017	2017	Rockets	Chris Paul	strained left adductor (DTD)
12/21/2017	2017	Spurs	Danny Green	tightness in left groin (DTD)
12/21/2017	2017	Spurs	Manu Ginobili	rest (DTD)
12/21/2017	2017	Spurs	Tony Parker	returned to lineup
12/22/2017	2017	Clippers	Milos Teodosic	rest (DTD)
12/22/2017	2017	Hawks	Dennis Schroder	left ankle injury (DTD)
12/22/2017	2017	Magic	Jonathan Isaac	sore right ankle (DTD)
12/22/2017	2017	Pistons	Avery Bradley	sore right groin (DTD)
12/22/2017	2017	Jazz	Nate Wolters	returned to lineup
12/23/2017	2017	Celtics	Jaylen Brown	returned to lineup
12/23/2017	2017	Clippers	Milos Teodosic	returned to lineup
12/23/2017	2017	Hawks	Dennis Schroder	returned to lineup
12/23/2017	2017	Heat	Dion Waiters	sprained left ankle (DTD)
12/23/2017	2017	Heat	Goran Dragic	returned to lineup
12/23/2017	2017	Heat	James Johnson	returned to lineup
12/23/2017	2017	Jazz	Donovan Mitchell	returned to lineup
12/23/2017	2017	Kings	Vince Carter	rib injury (DTD)
12/23/2017	2017	Magic	Nikola Vucevic	fractured left hand (out indefinitely)
12/23/2017	2017	Spurs	Kawhi Leonard	right quadricep injury / rest (DTD)
12/23/2017	2017	Spurs	Manu Ginobili	returned to lineup
12/24/2017	2017	Lakers	Lonzo Ball	sprained left shoulder (DTD)
12/25/2017	2017	Cavaliers	J.R. Smith	returned to lineup
12/25/2017	2017	Celtics	Marcus Morris	returned to lineup
12/25/2017	2017	Rockets	Clint Capela	returned to lineup
12/26/2017	2017	Celtics	Marcus Morris	left knee injury (DTD)
12/26/2017	2017	Heat	James Johnson	bursitis in right ankle (DTD)
12/26/2017	2017	Kings	Vince Carter	returned to lineup
12/26/2017	2017	Magic	Jonathan Isaac	returned to lineup
12/26/2017	2017	Spurs	Kawhi Leonard	returned to lineup
12/27/2017	2017	Celtics	Jaylen Brown	sore right knee (DTD)
12/27/2017	2017	Pistons	Reggie Jackson (b)	sprained right ankle (out indefinitely)
12/27/2017	2017	Rockets	Clint Capela	fractured right orbital bone (DTD)
12/29/2017	2017	Bulls	Kris Dunn	patellar tendinitis in left knee (DTD)
12/29/2017	2017	Clippers	Wesley Johnson	returned to lineup
12/29/2017	2017	Grizzlies	Chandler Parsons	sore right knee (DTD)
12/29/2017	2017	Lakers	Tyler Ennis	flu (DTD)
12/29/2017	2017	Rockets	Nene Hilario	undisclosed (DTD)
12/29/2017	2017	Rockets	Chris Paul	returned to lineup
12/29/2017	2017	Spurs	Rudy Gay	bursitis in right heel (DTD)
12/29/2017	2017	Thunder	Paul George	sore left knee (DTD)
12/30/2017	2017	76ers	Joel Embiid	back injury (DTD)
12/30/2017	2017	Blazers	Meyers Leonard	ankle injury (DTD)
12/30/2017	2017	Clippers	Austin Rivers	strained right Achilles tendon (DTD)
12/30/2017	2017	Nuggets	Juan Hernangomez	illness (DTD)
12/30/2017	2017	Nuggets	Malik Beasley	elbow injury (DTD)
12/30/2017	2017	Pistons	Stanley Johnson	strained right hip flexor (DTD)
12/31/2017	2017	76ers	Joel Embiid	returned to lineup
12/31/2017	2017	Bulls	Kris Dunn	returned to lineup
12/31/2017	2017	Lakers	Tyler Ennis	returned to lineup
12/31/2017	2017	Rockets	Nene Hilario	returned to lineup
