,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS,hr,min,sec,TIMES
481,Ho-Sang Josh,NYI,10.0,1,1,2,2,14:31,177,17.7,72:37:00, RW,14.0,31.0,,140.0
482,Kempe Adrian,LA,81.0,12,16,28,-10,14:30,1696,20.9,41:56:00, RW,14.0,30.0,,1134.0
483,Watson Austin,NSH,37.0,7,9,16,11,14:30,744,20.1,33:30:00, LW,14.0,30.0,,518.0
484,Martinook Jordan,CAR,82.0,15,10,25,1,14:29,1735,21.2,47:30:00, LW,14.0,29.0,,1148.0
485,Pirri Brandon,VGS,31.0,12,6,18,7,14:27,515,16.6,24:52:00, C,14.0,27.0,,434.0
486,Caggiula Drake,CHI/EDM,55.0,12,11,23,-5,14:26,1042,18.9,34:30:00, C,14.0,26.0,,770.0
487,Grabner Michael,ARI,41.0,9,7,16,-2,14:23,898,21.9,36:52:00, RW,14.0,23.0,,574.0
488,Dvorak Christian,ARI,20.0,2,5,7,-2,14:23,405,20.3,41:06:00, C,14.0,23.0,,280.0
489,Heed Tim,SJ,37.0,2,11,13,9,14:22,671,18.1,40:53:00, D,14.0,22.0,,518.0
490,Jaros Christian,OTT,61.0,1,9,10,-14,14:22,1294,21.2,87:38:00, D,14.0,22.0,,854.0
491,McGinn Brock,CAR,82.0,10,16,26,10,14:19,1700,20.7,45:07:00, LW,14.0,19.0,,1148.0
492,Mahura Josh,ANA,17.0,1,4,5,0,14:18,334,19.6,48:38:00, D,14.0,18.0,,238.0
493,Larsson Johan,BUF,73.0,6,8,14,-8,14:18,1380,18.9,74:31:00, LW,14.0,18.0,,1022.0
494,Filppula Valtteri,NYI,72.0,17,14,31,19,14:16,1389,19.3,33:09:00, C,14.0,16.0,,1008.0
495,Shore Devin,DAL/ANA,76.0,10,19,29,-12,14:16,1558,20.5,37:22:00, C,14.0,16.0,,1064.0
496,White Colton,NJ,3.0,0,0,0,-2,14:14,62,20.7,0:00, D,14.0,14.0,,42.0
497,Calvert Matt,COL,82.0,11,15,26,-10,14:12,1577,19.2,44:45:00, LW,14.0,12.0,,1148.0
498,Sobotka Vladimir,BUF,69.0,5,8,13,-20,14:11,1320,19.1,75:17:00, C,14.0,11.0,,966.0
499,Maroon Patrick,STL,74.0,10,18,28,-3,14:10,1287,17.4,37:26:00, LW,14.0,10.0,,1036.0
500,Siegenthaler Jonas,WSH,26.0,0,4,4,6,14:09,481,18.5,91:59:00, D,14.0,9.0,,364.0
501,Kahun Dominik,CHI,82.0,13,24,37,10,14:09,1531,18.7,31:21:00, C,14.0,9.0,,1148.0
502,Vanek Thomas,DET,64.0,16,20,36,-12,14:07,1188,18.6,25:05:00, LW,14.0,7.0,,896.0
503,Tanev Brandon,WPG,80.0,14,15,29,9,14:07,1685,21.1,38:55:00, LW,14.0,7.0,,1120.0
504,Ferland Micheal,CAR,71.0,17,23,40,13,14:06,1406,19.8,25:01:00, LW,14.0,6.0,,994.0
505,Eriksson Loui,VAN,81.0,11,18,29,-11,14:04,1668,20.6,39:17:00, LW,14.0,4.0,,1134.0
506,Hintz Roope,DAL,58.0,9,13,22,-11,14:03,1270,21.9,37:03:00, LW,14.0,3.0,,812.0
507,Pearson Tanner,LA/PIT/VAN,80.0,18,9,27,-15,14:03,1625,20.3,41:38:00, LW,14.0,3.0,,1120.0
508,Vrana Jakub,WSH,82.0,24,23,47,20,14:02,1415,17.3,24:29:00, C,14.0,2.0,,1148.0
509,Butler Chris,STL,13.0,1,1,2,3,14:02,265,20.4,91:15:00, D,14.0,2.0,,182.0
510,Leivo Josh,TOR/VAN,76.0,14,10,24,5,14:02,1439,18.9,44:25:00, LW,14.0,2.0,,1064.0
511,Cizikas Casey,NYI,73.0,20,13,33,22,14:01,1476,20.2,31:01:00, C,14.0,1.0,,1022.0
512,Boedker Mikkel,OTT,71.0,7,28,35,-23,14:01,1277,18.0,28:26:00, LW,14.0,1.0,,994.0
513,Lewis Trevor,LA,44.0,3,9,12,-9,14:01,862,19.6,51:25:00, C,14.0,1.0,,616.0
514,Labanc Kevin,SJ,82.0,17,39,56,-1,14:01,1515,18.5,20:31, RW,14.0,1.0,,1148.0
515,Ozhiganov Igor,TOR,53.0,3,4,7,0,14:01,1016,19.2,106:06:00, D,14.0,1.0,,742.0
516,Clutterbuck Cal,NYI,73.0,8,15,23,6,13:58,1445,19.8,44:20:00, RW,13.0,58.0,,949.0
517,Heinen Danton,BOS,77.0,11,23,34,13,13:58,1345,17.5,31:38:00, C,13.0,58.0,,1001.0
518,Morrow Joe,WPG,41.0,1,6,7,0,13:58,669,16.3,81:45:00, D,13.0,58.0,,533.0
519,Terry Troy,ANA,32.0,4,9,13,8,13:57,585,18.3,34:19:00, RW,13.0,57.0,,416.0
520,Kampf David,CHI,63.0,4,15,19,-6,13:55,1261,20.0,46:09:00, C,13.0,55.0,,819.0
521,Niku Sami,WPG,30.0,1,3,4,0,13:55,484,16.1,104:23:00, D,13.0,55.0,,390.0
522,Schenn Luke,VAN/ANA,26.0,0,2,2,-10,13:54,535,20.6,180:46:00, D,13.0,54.0,,338.0
523,Komarov Leo,NYI,82.0,6,20,26,18,13:53,1517,18.5,43:48:00, C,13.0,53.0,,1066.0
524,Eaves Patrick,ANA,7.0,0,0,0,-4,13:53,137,19.6,0:00, RW,13.0,53.0,,91.0
525,Abramov Vitaly,OTT,1.0,0,0,0,-3,13:52,18,18.0,0:00, RW,13.0,52.0,,13.0
526,Chlapik Filip,OTT,5.0,1,0,1,-2,13:52,85,17.0,69:19:00, C,13.0,52.0,,65.0
527,Fedun Taylor,DAL,54.0,4,7,11,2,13:51,1101,20.4,68:01:00, D,13.0,51.0,,702.0
528,Ladd Andrew,NYI,26.0,3,8,11,3,13:51,473,18.2,32:43:00, LW,13.0,51.0,,338.0
529,Sundqvist Oskar,STL,74.0,14,17,31,-1,13:49,1384,18.7,32:59:00, C,13.0,49.0,,962.0
530,Ryan Derek,CGY,81.0,13,25,38,21,13:48,1579,19.5,29:25:00, C,13.0,48.0,,1053.0
531,Davidson Brandon,CHI,10.0,0,1,1,-4,13:48,201,20.1,137:56:00, D,13.0,48.0,,130.0
532,Brown Connor,TOR,82.0,8,21,29,11,13:48,1632,19.9,38:59:00, RW,13.0,48.0,,1066.0
533,Lewington Tyler,WSH,2.0,1,1,2,3,13:48,40,20.0,13:47, D,13.0,48.0,,26.0
534,Chytil Filip,NYR,75.0,11,12,23,-22,13:47,1300,17.3,44:57:00, C,13.0,47.0,,975.0
535,Okposo Kyle,BUF,78.0,14,15,29,-9,13:47,1361,17.4,37:04:00, RW,13.0,47.0,,1014.0
536,Leipsic Brendan,LA/VAN,62.0,7,16,23,-14,13:47,1128,18.2,37:09:00, LW,13.0,47.0,,806.0
537,Tangradi Eric,NJ,6.0,0,1,1,-3,13:47,103,17.2,82:41:00, LW,13.0,47.0,,78.0
538,Kuraly Sean,BOS,71.0,8,13,21,6,13:46,1304,18.4,46:34:00, C,13.0,46.0,,923.0
539,Nieto Matt,COL,64.0,4,19,23,2,13:46,1240,19.4,38:19:00, LW,13.0,46.0,,832.0
540,Blidh Anton,BOS,1.0,0,0,0,0,13:46,19,19.0,0:00, LW,13.0,46.0,,13.0
541,Roussel Antoine,VAN,65.0,9,22,31,5,13:46,1402,21.6,28:51:00, LW,13.0,46.0,,845.0
542,Lindblom Oskar,PHI,81.0,17,16,33,-9,13:45,1532,18.9,33:44:00, LW,13.0,45.0,,1053.0
543,Kotkaniemi Jesperi,MTL,79.0,11,23,34,1,13:44,1452,18.4,31:55:00, C,13.0,44.0,,1027.0
544,Lyubushkin Ilya,ARI,41.0,0,4,4,-9,13:44,768,18.7,140:49:00, D,13.0,44.0,,533.0
545,Honka Julius,DAL,29.0,0,4,4,-2,13:43,557,19.2,99:25:00, D,13.0,43.0,,377.0
546,Donato Ryan,BOS/MIN,56.0,10,15,25,-15,13:42,977,17.4,30:41:00, C,13.0,42.0,,728.0
547,Wood Miles,NJ,63.0,10,14,24,-10,13:42,1113,17.7,35:56:00, LW,13.0,42.0,,819.0
548,Hanley Joel,DAL,16.0,0,0,0,0,13:42,306,19.1,0:00, D,13.0,42.0,,208.0
549,Lappin Nick,NJ,11.0,0,0,0,-6,13:41,193,17.5,0:00, RW,13.0,41.0,,143.0
550,Johnsson Andreas,TOR,73.0,20,23,43,14,13:40,1406,19.3,23:12, LW,13.0,40.0,,949.0
551,Teves Josh,VAN,1.0,0,0,0,-1,13:40,17,17.0,0:00, D,13.0,40.0,,13.0
552,Lashoff Brian,DET,4.0,0,1,1,-1,13:40,80,20.0,54:38:00, D,13.0,40.0,,52.0
553,Aston-Reese Zach,PIT,43.0,8,9,17,12,13:39,877,20.4,34:32:00, C,13.0,39.0,,559.0
554,Beagle Jay,VAN,57.0,3,10,13,-8,13:39,1239,21.7,59:52:00, C,13.0,39.0,,741.0
555,Greenway Jordan,MIN,81.0,12,12,24,-12,13:38,1448,17.9,45:59:00, LW,13.0,38.0,,1053.0
556,Girgensons Zemgus,BUF,72.0,5,13,18,-11,13:37,1306,18.1,54:26:00, C,13.0,37.0,,936.0
557,Djoos Christian,WSH,45.0,1,9,10,9,13:34,782,17.4,61:04:00, D,13.0,34.0,,585.0
558,Archibald Josh,ARI,68.0,12,10,22,1,13:34,1397,20.5,41:56:00, RW,13.0,34.0,,884.0
559,Wilson Colin,COL,65.0,12,15,27,-6,13:34,1182,18.2,32:39:00, C,13.0,34.0,,845.0
560,Cousins Nick,ARI,81.0,7,20,27,-8,13:33,1532,18.9,40:38:00, C,13.0,33.0,,1053.0
561,Ek Eriksson Joel,MIN,58.0,7,7,14,-7,13:30,1076,18.6,55:57:00, C,13.0,30.0,,754.0
562,Nordstrom Joakim,BOS,70.0,7,5,12,0,13:29,1300,18.6,78:38:00, C,13.0,29.0,,910.0
563,Paajarvi Magnus,OTT,80.0,11,8,19,-14,13:28,1516,19.0,56:42:00, LW,13.0,28.0,,1040.0
564,Kukan Dean,CBJ,25.0,0,5,5,6,13:28,470,18.8,67:19:00, D,13.0,28.0,,325.0
565,Weal Jordan,MTL/PHI/ARI,63.0,8,13,21,-8,13:28,1134,18.0,40:23:00, C,13.0,28.0,,819.0
566,Sheahan Riley,PIT/FLA,82.0,9,10,19,-9,13:28,1627,19.8,58:05:00, C,13.0,28.0,,1066.0
567,Wagner Chris,BOS,76.0,12,7,19,3,13:27,1373,18.1,53:48:00, RW,13.0,27.0,,988.0
568,Mittelstadt Casey,BUF,77.0,12,13,25,-19,13:27,1333,17.3,41:25:00, C,13.0,27.0,,1001.0
569,Boyle Brian,NJ/NSH,73.0,18,6,24,-14,13:26,1255,17.2,40:52:00, C,13.0,26.0,,949.0
570,Donskoi Joonas,SJ,80.0,14,23,37,10,13:25,1469,18.4,29:01:00, RW,13.0,25.0,,1040.0
571,Batherson Drake,OTT,20.0,3,6,9,-2,13:25,338,16.9,29:48:00, RW,13.0,25.0,,260.0
572,Pitlick Tyler,DAL,47.0,8,4,12,-2,13:23,972,20.7,52:24:00, RW,13.0,23.0,,611.0
573,Dickinson Jason,DAL,67.0,6,16,22,9,13:22,1392,20.8,40:43:00, C,13.0,22.0,,871.0
574,Frolik Michael,CGY,65.0,16,18,34,24,13:22,1138,17.5,25:32:00, RW,13.0,22.0,,845.0
575,Rafferty Brogan,VAN,2.0,0,0,0,-1,13:21,35,17.5,0:00, D,13.0,21.0,,26.0
576,Englund Andreas,OTT,3.0,0,0,0,-2,13:20,60,20.0,0:00, D,13.0,20.0,,39.0
577,Connolly Brett,WSH,81.0,22,24,46,13,13:20,1267,15.6,23:28, RW,13.0,20.0,,1053.0
578,Simon Dominik,PIT,71.0,8,20,28,8,13:19,1311,18.5,33:47:00, C,13.0,19.0,,923.0
579,McCoshen Ian,FLA,19.0,1,1,2,-2,13:19,350,18.4,126:32:00, D,13.0,19.0,,247.0
580,Brown Josh,FLA,37.0,1,1,2,-3,13:18,723,19.5,246:03:00, D,13.0,18.0,,481.0
581,Bennett Sam,CGY,71.0,13,14,27,-6,13:17,1276,18.0,34:56:00, C,13.0,17.0,,923.0
582,Tolvanen Eeli,NSH,4.0,1,1,2,2,13:16,68,17.0,26:32:00, RW,13.0,16.0,,52.0
583,Spezza Jason,DAL,76.0,8,19,27,-13,13:16,1513,19.9,37:21:00, C,13.0,16.0,,988.0
584,Pietila Blake,NJ,19.0,0,1,1,-7,13:16,317,16.7,252:01:00, LW,13.0,16.0,,247.0
585,Lucic Milan,EDM,79.0,6,14,20,-9,13:14,1422,18.0,52:16:00, LW,13.0,14.0,,1027.0
586,LaDue Paul,LA,33.0,2,3,5,0,13:13,579,17.5,87:15:00, D,13.0,13.0,,429.0
587,Jones Max,ANA,30.0,2,3,5,-1,13:10,549,18.3,79:02:00, LW,13.0,10.0,,390.0
588,Fischer Christian,ARI,71.0,11,7,18,-13,13:10,1332,18.8,51:56:00, RW,13.0,10.0,,923.0
589,Belpedio Louis,MIN,2.0,0,0,0,0,13:08,31,15.5,0:00, D,13.0,8.0,,26.0
590,Hartman Ryan,PHI/NSH,83.0,12,14,26,1,13:07,1476,17.8,41:52:00, RW,13.0,7.0,,1079.0
591,Prout Dalton,CGY,20.0,1,1,2,1,13:07,343,17.2,131:09:00, D,13.0,7.0,,260.0
592,Thomas Robert,STL,70.0,9,24,33,-2,13:04,1181,16.9,27:43:00, C,13.0,4.0,,910.0
593,Yamamoto Kailer,EDM,17.0,1,1,2,-6,13:04,298,17.5,111:01:00, RW,13.0,4.0,,221.0
594,Wideman Chris,EDM/OTT/PIT/FLA,25.0,2,5,7,-12,13:03,470,18.8,46:38:00, D,13.0,3.0,,325.0
595,Harrington Scott,CBJ,73.0,2,15,17,6,13:03,1338,18.3,56:01:00, D,13.0,3.0,,949.0
596,Roy Kevin,ANA,3.0,0,0,0,-1,13:03,54,18.0,0:00, C,13.0,3.0,,39.0
597,Berglund Patrik,BUF,23.0,2,2,4,-5,13:03,412,17.9,74:59:00, C,13.0,3.0,,299.0
598,Backes David,BOS,70.0,7,13,20,0,13:02,1175,16.8,45:38:00, C,13.0,2.0,,910.0
599,Lundestrom Isac,ANA,15.0,0,2,2,-1,13:02,277,18.5,97:43:00, C,13.0,2.0,,195.0
600,Jost Tyson,COL,70.0,11,15,26,-2,13:00,1143,16.3,35:01:00, C,13.0,0.0,,910.0
601,Thompson Nate,LA/MTL,78.0,5,8,13,-1,13:00,1542,19.8,78:01:00, C,13.0,0.0,,1014.0
602,Acciari Noel,BOS,72.0,6,8,14,-3,12:59,1238,17.2,66:47:00, C,12.0,59.0,,864.0
603,Sorensen Marcus,SJ,80.0,17,13,30,10,12:58,1478,18.5,34:34:00, RW,12.0,58.0,,960.0
604,Crouse Lawson,ARI,81.0,11,14,25,5,12:57,1603,19.8,41:57:00, LW,12.0,57.0,,972.0
605,Falk Justin,OTT,10.0,0,0,0,-4,12:56,190,19.0,0:00, D,12.0,56.0,,120.0
606,Agostino Kenny,MTL/NJ,63.0,6,18,24,-3,12:55,1072,17.0,33:54:00, LW,12.0,55.0,,756.0
607,Anderson Joey,NJ,34.0,4,3,7,-7,12:54,582,17.1,62:39:00, RW,12.0,54.0,,408.0
608,Malgin Denis,FLA,50.0,7,9,16,-10,12:53,944,18.9,40:16:00, C,12.0,53.0,,600.0
609,Hanzal Martin,DAL,7.0,1,1,2,-4,12:52,140,20.0,45:01:00, C,12.0,52.0,,84.0
610,Brickley Daniel,LA,4.0,0,1,1,-2,12:49,74,18.5,51:14:00, D,12.0,49.0,,48.0
611,Garland Conor,ARI,47.0,13,5,18,1,12:47,810,17.2,33:23:00, RW,12.0,47.0,,564.0
612,Sturm Nico,MIN,2.0,0,0,0,0,12:47,37,18.5,0:00, C,12.0,47.0,,24.0
613,Motte Tyler,VAN,74.0,9,7,16,-12,12:46,1425,19.3,59:05:00, C,12.0,46.0,,888.0
614,Ryan Joakim,SJ,44.0,0,7,7,-1,12:46,710,16.1,80:17:00, D,12.0,46.0,,528.0
615,Texier Alexandre,CBJ,2.0,1,0,1,3,12:46,32,16.0,25:32:00, C,12.0,46.0,,24.0
616,Fabbro Dante,NSH,4.0,1,0,1,-1,12:44,67,16.8,50:57:00, D,12.0,44.0,,48.0
617,Noesen Stefan,NJ,41.0,3,5,8,-19,12:44,674,16.4,65:15:00, RW,12.0,44.0,,492.0
618,Jankowski Mark,CGY,79.0,14,18,32,6,12:42,1458,18.5,31:22:00, C,12.0,42.0,,948.0
619,Duclair Anthony,OTT/CBJ,74.0,19,14,33,-2,12:42,1286,17.4,28:28:00, LW,12.0,42.0,,888.0
620,Garrison Jason,CHI/EDM,17.0,1,0,1,1,12:42,305,17.9,215:50:00, D,12.0,42.0,,204.0
621,Brouwer Troy,FLA,75.0,12,9,21,-6,12:41,1384,18.5,45:19:00, RW,12.0,41.0,,900.0
622,Condra Erik,DAL,6.0,1,0,1,-2,12:41,115,19.2,76:06:00, RW,12.0,41.0,,72.0
623,Kuhnhackl Tom,NYI,36.0,4,5,9,1,12:41,629,17.5,50:43:00, RW,12.0,41.0,,432.0
624,Bastian Nathan,NJ,7.0,3,0,3,0,12:41,119,17.0,29:35:00, RW,12.0,41.0,,84.0
625,Dowling Justin,DAL,11.0,0,1,1,-4,12:40,206,18.7,139:21:00, C,12.0,40.0,,132.0
626,Keeper Brady,FLA,1.0,0,0,0,1,12:40,18,18.0,0:00, D,12.0,40.0,,12.0
627,Fabbri Robby,STL,32.0,2,4,6,-4,12:39,521,16.3,67:29:00, C,12.0,39.0,,384.0
628,Rieder Tobias,EDM,67.0,0,11,11,-8,12:39,1220,18.2,77:00:00, C,12.0,39.0,,804.0
629,Carpenter Ryan,VGS,68.0,5,13,18,-6,12:37,1079,15.9,47:39:00, C,12.0,37.0,,816.0
630,Rooney Kevin,NJ,41.0,6,4,10,-4,12:37,738,18.0,51:42:00, C,12.0,37.0,,492.0
631,Cehlarik Peter,BOS,20.0,4,2,6,3,12:36,315,15.8,41:58:00, LW,12.0,36.0,,240.0
632,Cogliano Andrew,DAL/ANA,78.0,6,11,17,1,12:35,1547,19.8,57:46:00, C,12.0,35.0,,936.0
633,Turgeon Dominic,DET,4.0,0,0,0,-3,12:35,76,19.0,0:00, C,12.0,35.0,,48.0
634,Sanford Zach,STL,60.0,8,12,20,8,12:35,1037,17.3,37:44:00, LW,12.0,35.0,,720.0
635,Khaira Jujhar,EDM,60.0,3,15,18,-12,12:34,1073,17.9,41:53:00, LW,12.0,34.0,,720.0
636,Rowney Carter,ANA,62.0,7,13,20,0,12:33,1117,18.0,38:54:00, RW,12.0,33.0,,744.0
637,Friedman Mark,PHI,1.0,0,0,0,-1,12:33,19,19.0,0:00, D,12.0,33.0,,12.0
638,Fleury Haydn,CAR,20.0,0,1,1,4,12:32,340,17.0,250:40:00, D,12.0,32.0,,240.0
639,Leo De Chase,ANA,1.0,0,0,0,1,12:32,18,18.0,0:00, C,12.0,32.0,,12.0
640,Veronneau Max,OTT,12.0,2,2,4,-5,12:31,191,15.9,37:33:00, RW,12.0,31.0,,144.0
641,Foegele Warren,CAR,77.0,10,5,15,-17,12:30,1412,18.3,64:08:00, LW,12.0,30.0,,924.0
642,Holl Justin,TOR,11.0,0,1,1,-5,12:29,191,17.4,137:18:00, D,12.0,29.0,,132.0
643,Lindberg Oscar,OTT/VGS,55.0,9,11,20,4,12:28,896,16.3,34:18:00, C,12.0,28.0,,660.0
644,Nosek Tomas,VGS,68.0,8,9,17,-10,12:28,1055,15.5,49:53:00, C,12.0,28.0,,816.0
645,Pominville Jason,BUF,73.0,16,15,31,-4,12:28,1232,16.9,29:21:00, RW,12.0,28.0,,876.0
646,Bellemare Pierre-Edouard,VGS,76.0,6,9,15,2,12:26,1196,15.7,62:58:00, RW,12.0,26.0,,912.0
647,Kylington Oliver,CGY,38.0,3,5,8,3,12:25,633,16.7,59:00:00, D,12.0,25.0,,456.0
648,Morin Samuel,PHI,5.0,0,0,0,-3,12:22,86,17.2,0:00, D,12.0,22.0,,60.0
649,Dubinsky Brandon,CBJ,61.0,6,8,14,-16,12:21,1178,19.3,53:50:00, C,12.0,21.0,,732.0
650,Bouchard Evan,EDM,7.0,1,0,1,-5,12:21,112,16.0,86:29:00, D,12.0,21.0,,84.0
651,Balcers Rudolfs,OTT,36.0,5,9,14,-7,12:21,585,16.3,31:46:00, LW,12.0,21.0,,432.0
652,Bjorkstrand Oliver,CBJ,77.0,23,13,36,8,12:20,1248,16.2,26:23:00, RW,12.0,20.0,,924.0
653,Seeler Nick,MIN,71.0,2,5,7,-4,12:20,1169,16.5,125:05:00, D,12.0,20.0,,852.0
654,Dauphin Laurent,ARI/NSH,1.0,0,0,0,-1,12:19,17,17.0,0:00, C,12.0,19.0,,12.0
655,Cave Colby,BOS/EDM,53.0,3,5,8,-5,12:19,909,17.2,81:34:00, C,12.0,19.0,,636.0
656,Sceviour Colton,FLA,59.0,5,10,15,-2,12:18,1055,17.9,48:21:00, C,12.0,18.0,,708.0
657,Stafford Drew,NJ,57.0,5,8,13,-7,12:16,868,15.2,53:46:00, RW,12.0,16.0,,684.0
658,L'Esperance Joel,DAL,18.0,2,0,2,-4,12:15,330,18.3,110:14:00, RW,12.0,15.0,,216.0
659,Perreault Mathieu,WPG,82.0,15,15,30,-1,12:14,1350,16.5,33:26:00, C,12.0,14.0,,984.0
660,McLeod Michael,NJ,21.0,0,3,3,-8,12:12,337,16.0,85:22:00, C,12.0,12.0,,252.0
661,Nylander Alexander,BUF,12.0,2,2,4,-4,12:12,190,15.8,36:34:00, LW,12.0,12.0,,144.0
662,Copp Andrew,WPG,69.0,11,14,25,20,12:10,1215,17.6,33:33:00, C,12.0,10.0,,828.0
663,Kuhlman Karson,BOS,11.0,3,2,5,5,12:09,183,16.6,26:43:00, RW,12.0,9.0,,132.0
664,Thompson Tage,BUF,65.0,7,5,12,-22,12:08,1031,15.9,65:42:00, C,12.0,8.0,,780.0
665,Stephenson Chandler,WSH,64.0,5,6,11,-13,12:07,1005,15.7,70:29:00, C,12.0,7.0,,768.0
666,Colle Dal Michael,NYI,28.0,3,4,7,3,12:07,435,15.5,48:26:00, LW,12.0,7.0,,336.0
667,Rask Victor,CAR/MIN,49.0,3,6,9,-4,12:06,839,17.1,65:53:00, C,12.0,6.0,,588.0
668,Schilling Cameron,WPG,4.0,0,1,1,0,12:06,61,15.3,48:23:00, D,12.0,6.0,,48.0
669,Rasmussen Michael,DET,62.0,8,10,18,-8,12:05,1014,16.4,41:35:00, C,12.0,5.0,,744.0
670,Street Ben,ANA,21.0,3,2,5,-4,12:04,373,17.8,50:41:00, RW,12.0,4.0,,252.0
671,MacDonald Jacob,FLA,2.0,1,0,1,1,12:03,33,16.5,24:06:00, D,12.0,3.0,,24.0
672,Sustr Andrej,ANA,5.0,0,0,0,0,12:02,93,18.6,0:00, D,12.0,2.0,,60.0
673,Paquette Cedric,TB,80.0,13,4,17,7,12:00,1400,17.5,56:29:00, C,12.0,0.0,,960.0
674,Borgstrom Henrik,FLA,50.0,8,10,18,-14,12:00,852,17.0,33:20:00, C,12.0,0.0,,600.0
675,Foligno Marcus,MIN,82.0,7,12,19,-1,11:58,1336,16.3,51:39:00, LW,11.0,58.0,,902.0
676,Sprong Daniel,PIT/ANA,63.0,14,9,23,-16,11:57,970,15.4,32:44:00, RW,11.0,57.0,,693.0
677,Puljujarvi Jesse,EDM,46.0,4,5,9,-14,11:57,769,16.7,61:05:00, RW,11.0,57.0,,506.0
678,O'Regan Danny,BUF,1.0,0,0,0,0,11:56,15,15.0,0:00, C,11.0,56.0,,11.0
679,Bitetto Anthony,NSH/MIN,36.0,0,3,3,-7,11:56,563,15.6,143:06:00, D,11.0,56.0,,396.0
680,Nichushkin Valeri,DAL,57.0,0,10,10,-4,11:55,1027,18.0,67:55:00, RW,11.0,55.0,,627.0
681,Weber Yannick,NSH,62.0,2,6,8,7,11:55,1039,16.8,92:19:00, D,11.0,55.0,,682.0
682,Robinson Eric,CBJ,13.0,0,0,0,-4,11:50,197,15.2,0:00, LW,11.0,50.0,,143.0
683,Dotchin Jake,ANA,20.0,0,1,1,-4,11:49,336,16.8,236:11:00, D,11.0,49.0,,220.0
684,Bjork Anders,BOS,20.0,1,2,3,-1,11:48,305,15.3,78:39:00, LW,11.0,48.0,,220.0
685,Karlsson Forsbacka Jakob,BOS,28.0,3,6,9,1,11:48,431,15.4,36:41:00, C,11.0,48.0,,308.0
686,Weise Dale,MTL/PHI,51.0,5,6,11,-8,11:47,905,17.7,54:36:00, RW,11.0,47.0,,561.0
687,Hyka Tomas,VGS,17.0,1,3,4,-2,11:46,258,15.2,50:00:00, LW,11.0,46.0,,187.0
688,Read Matt,MIN,12.0,1,0,1,-2,11:45,191,15.9,141:03:00, RW,11.0,45.0,,132.0
689,Pyatt Tom,OTT/VAN,37.0,0,2,2,-16,11:43,621,16.8,216:42:00, C,11.0,43.0,,407.0
690,Brodziak Kyle,EDM,70.0,6,3,9,-14,11:42,1190,17.0,90:56:00, C,11.0,42.0,,770.0
691,Grant Derek,PIT/ANA,56.0,4,10,14,-6,11:41,969,17.3,46:44:00, C,11.0,41.0,,616.0
692,Hudon Charles,MTL,32.0,3,2,5,-9,11:40,489,15.3,74:42:00, LW,11.0,40.0,,352.0
693,Formenton Alex,OTT,9.0,1,0,1,-2,11:40,138,15.3,105:01:00, LW,11.0,40.0,,99.0
694,Anderson-Dolan Jaret,LA,5.0,0,1,1,-2,11:36,75,15.0,58:01:00, C,11.0,36.0,,55.0
695,Perlini Brendan,CHI/ARI,68.0,14,7,21,-17,11:36,1069,15.7,37:34:00, LW,11.0,36.0,,748.0
696,Senyshyn Zach,BOS,2.0,1,0,1,0,11:36,31,15.5,23:11, RW,11.0,36.0,,22.0
697,Barbashev Ivan,STL,80.0,14,12,26,-4,11:31,1336,16.7,35:25:00, LW,11.0,31.0,,880.0
698,Cullen Matt,PIT,71.0,7,13,20,6,11:31,1307,18.4,40:51:00, C,11.0,31.0,,781.0
699,Karlsson Melker,SJ,79.0,12,4,16,-1,11:30,1405,17.8,56:46:00, RW,11.0,30.0,,869.0
700,Schmaltz Jordan,STL,20.0,0,2,2,-7,11:29,339,17.0,114:51:00, D,11.0,29.0,,220.0
701,Carrick Trevor,CAR,1.0,0,0,0,-1,11:29,13,13.0,0:00, D,11.0,29.0,,11.0
702,Wilson Scott,BUF,15.0,0,3,3,-8,11:27,245,16.3,57:15:00, C,11.0,27.0,,165.0
703,Rose La De Jacob,DET/MTL,60.0,3,6,9,-13,11:26,958,16.0,76:15:00, LW,11.0,26.0,,660.0
704,Martin Matt,NYI,67.0,6,8,14,5,11:26,1072,16.0,54:43:00, LW,11.0,26.0,,737.0
705,Spooner Ryan,EDM/NYR/VAN,52.0,3,6,9,-12,11:26,819,15.8,66:01:00, C,11.0,26.0,,572.0
706,Raffl Michael,PHI,67.0,6,12,18,-1,11:25,1083,16.2,42:29:00, LW,11.0,25.0,,737.0
707,Sherwood Kiefer,ANA,50.0,6,6,12,1,11:22,784,15.7,47:22:00, RW,11.0,22.0,,550.0
708,Poehling Ryan,MTL,1.0,3,0,3,3,11:22,19,19.0,3:47, C,11.0,22.0,,11.0
709,Joseph Mathieu,TB,70.0,13,13,26,5,11:22,1146,16.4,30:34:00, RW,11.0,22.0,,770.0
710,Lindholm Par,TOR/WPG,65.0,1,12,13,5,11:21,1136,17.5,56:44:00, C,11.0,21.0,,715.0
711,Rattie Ty,EDM,50.0,4,7,11,-2,11:21,761,15.2,51:34:00, RW,11.0,21.0,,550.0
712,Mermis Dakota,ARI,1.0,0,0,0,1,11:20,17,17.0,0:00, D,11.0,20.0,,11.0
713,Czarnik Austin,CGY,54.0,6,12,18,-1,11:20,838,15.5,33:59:00, C,11.0,20.0,,594.0
