,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
315,Dzingel Ryan,OTT/CBJ,78,26,30,56,-9,16:49,1583,20.3,23:25, LW
316,Carrick Connor,DAL/NJ,34,2,9,11,-13,16:48,718,21.1,51:55:00, D
317,Coyle Charlie,BOS/MIN,81,12,22,34,-1,16:47,1676,20.7,39:58:00, C
318,Tuch Alex,VGS,74,20,32,52,13,16:44,1344,18.2,23:48, RW
319,Rosen Calle,TOR,4,1,0,1,-3,16:42,101,25.3,66:49:00, D
320,Riikola Juuso,PIT,37,2,3,5,3,16:41,856,23.1,123:28:00, D
321,Pettersson Marcus,PIT/ANA,84,2,23,25,17,16:41,1961,23.3,56:03:00, D
322,Nielsen Frans,DET,72,10,25,35,-7,16:41,1641,22.8,34:18:00, C
323,Santini Steven,NJ,39,1,3,4,-6,16:39,837,21.5,162:24:00, D
324,Kapanen Kasperi,TOR,78,20,24,44,12,16:37,1805,23.1,29:26:00, RW
325,Panik Richard,ARI,75,14,19,33,-3,16:37,1730,23.1,37:44:00, RW
326,Riemsdyk van James,PHI,66,27,21,48,-10,16:36,1342,20.3,22:49, LW
327,Haula Erik,VGS,15,2,5,7,1,16:35,289,19.3,35:32:00, LW
328,Borgen Will,BUF,4,0,0,0,-5,16:33,91,22.8,0:00, D
329,Eller Lars,WSH,81,13,23,36,-1,16:32,1576,19.5,37:12:00, C
330,Hajek Libor,NYR,5,1,0,1,1,16:32,107,21.4,82:39:00, D
331,Eberle Jordan,NYI,78,19,18,37,-6,16:32,1514,19.4,34:50:00, RW
332,Petrovic Alex,EDM/FLA,35,0,2,2,-15,16:32,785,22.4,289:12:00, D
333,Bertuzzi Tyler,DET,73,21,26,47,11,16:31,1547,21.2,25:39:00, LW
334,Kesler Ryan,ANA,60,5,3,8,-19,16:30,1358,22.6,123:44:00, C
335,Sekera Andrej,EDM,24,0,4,4,3,16:29,548,22.8,98:56:00, D
336,Nemeth Patrik,COL,74,1,9,10,5,16:29,1528,20.6,122:00:00, D
337,Henrique Adam,ANA,82,18,24,42,-5,16:27,1772,21.6,32:07:00, C
338,Faksa Radek,DAL,81,15,15,30,-3,16:26,1953,24.1,44:21:00, C
339,Tatar Tomas,MTL,80,25,33,58,21,16:25,1737,21.7,22:38, LW
340,Gallagher Brendan,MTL,82,33,19,52,10,16:24,1775,21.6,25:51:00, RW
341,MacDonald Andrew,PHI,47,0,9,9,-5,16:24,1014,21.6,85:36:00, D
342,Smith Zack,OTT,70,9,19,28,-6,16:21,1513,21.6,40:52:00, C
343,Bozak Tyler,STL,72,13,25,38,-3,16:21,1534,21.3,30:58:00, C
344,Marleau Patrick,TOR,82,16,21,37,-6,16:21,1774,21.6,36:13:00, C
345,Anisimov Artem,CHI,78,15,22,37,-2,16:21,1611,20.7,34:27:00, C
346,Bonino Nick,NSH,81,17,18,35,27,16:18,1873,23.1,37:44:00, C
347,Ruhwedel Chad,PIT,18,1,1,2,-9,16:17,401,22.3,146:29:00, D
348,Kovalchuk Ilya,LA,64,16,18,34,-26,16:14,1263,19.7,30:33:00, LW
349,Niederreiter Nino,CAR/MIN,82,23,30,53,-4,16:14,1637,20.0,25:06:00, RW
350,White Colin,OTT,71,14,27,41,-24,16:12,1455,20.5,28:03:00, C
351,Kadri Nazem,TOR,73,16,28,44,-2,16:11,1499,20.5,26:51:00, C
352,DeBrusk Jake,BOS,68,27,15,42,2,16:10,1319,19.4,26:10:00, LW
353,Strome Dylan,CHI/ARI,78,20,37,57,-8,16:09,1511,19.4,22:06, C
354,Coburn Braydon,TB,74,4,19,23,4,16:07,1504,20.3,51:50:00, D
355,Zacha Pavel,NJ,61,13,12,25,-6,16:05,1224,20.1,39:14:00, C
356,Gilmour John,NYR,5,0,0,0,-3,16:05,106,21.2,0:00, D
357,Capobianco Kyle,ARI,2,0,0,0,-2,16:05,38,19.0,0:00, D
358,Holzer Korbinian,ANA,22,1,3,4,5,16:04,523,23.8,88:22:00, D
359,Vesey Jimmy,NYR,81,17,18,35,-6,16:03,1681,20.8,37:09:00, LW
360,Hamhuis Dan,NSH,57,0,5,5,-2,16:03,1197,21.0,182:56:00, D
361,Sissons Colton,NSH,75,15,15,30,20,16:03,1652,22.0,40:06:00, C
362,Welinski Andy,ANA,26,1,3,4,-5,16:02,551,21.2,104:15:00, D
363,Andersson Rasmus,CGY,79,2,17,19,17,16:02,1639,20.7,66:41:00, D
364,Tkachuk Brady,OTT,71,22,23,45,-10,16:01,1442,20.3,25:17:00, LW
365,Fantenberg Oscar,CGY/LA,61,2,2,4,3,16:00,1295,21.2,244:00:00, D
366,Richardson Brad,ARI,66,19,8,27,6,15:58,1549,23.5,39:01:00, C
367,Johnson Tyler,TB,80,29,18,47,15,15:57,1650,20.6,27:08:00, C
368,Stone Michael,CGY,14,0,5,5,0,15:56,303,21.6,44:37:00, D
369,Gunnarsson Carl,STL,25,3,4,7,8,15:56,568,22.7,56:53:00, D
370,Johansson Marcus,BOS/NJ,58,13,17,30,-16,15:55,1106,19.1,30:47:00, C
371,Shaw Andrew,MTL,63,19,28,47,17,15:55,1267,20.1,21:20, C
372,Rust Bryan,PIT,72,18,17,35,10,15:54,1610,22.4,32:43:00, RW
373,Kunin Luke,MIN,49,6,11,17,-9,15:53,1014,20.7,45:47:00, C
374,Steen Alexander,STL,65,10,17,27,2,15:50,1429,22.0,38:08:00, LW
375,Gourde Yanni,TB,80,22,26,48,9,15:50,1597,20.0,26:23:00, LW
376,Little Bryan,WPG,82,15,26,41,-12,15:50,1719,21.0,31:39:00, C
377,Koekkoek Slater,CHI/TB,31,2,4,6,4,15:50,655,21.1,81:47:00, D
378,Rodrigues Evan,BUF,74,9,20,29,-7,15:49,1528,20.6,40:22:00, RW
379,Armia Joel,MTL,57,13,10,23,0,15:48,1213,21.3,39:08:00, RW
380,Namestnikov Vladislav,NYR,78,11,20,31,-7,15:48,1651,21.2,39:44:00, C
381,Glendening Luke,DET,78,10,13,23,2,15:47,1818,23.3,53:32:00, C
382,McQuaid Adam,NYR/CBJ,50,3,4,7,2,15:47,1147,22.9,112:41:00, D
383,Ehlers Nikolaj,WPG,62,21,16,37,2,15:46,1190,19.2,26:24:00, LW
384,Galchenyuk Alex,ARI,72,19,22,41,-19,15:44,1485,20.6,27:37:00, C
385,Comeau Blake,DAL,77,7,11,18,-7,15:44,1776,23.1,67:16:00, LW
386,Fast Jesper,NYR,66,8,12,20,-3,15:43,1420,21.5,51:52:00, RW
387,Turris Kyle,NSH,55,7,16,23,-6,15:42,1109,20.2,37:31:00, C
388,Hunwick Matt,BUF,14,0,2,2,-7,15:41,280,20.0,109:49:00, D
389,Ryan Bobby,OTT,78,15,27,42,-29,15:41,1563,20.0,29:07:00, RW
390,Yakovlev Egor,NJ,25,2,5,7,-6,15:40,504,20.2,55:58:00, D
391,Gaunce Cameron,TB,2,0,0,0,3,15:40,39,19.5,0:00, D
392,Simmonds Wayne,PHI/NSH,79,17,13,30,-16,15:40,1530,19.4,41:15:00, RW
393,Kulikov Dmitry,WPG,57,0,6,6,4,15:40,1060,18.6,148:48:00, D
394,Orpik Brooks,WSH,53,2,7,9,8,15:40,1030,19.4,92:14:00, D
395,Folin Christian,MTL/PHI,45,0,6,6,6,15:40,979,21.8,117:26:00, D
396,Kase Ondrej,ANA,30,11,9,20,0,15:39,593,19.8,23:29, RW
397,Fiala Kevin,NSH/MIN,83,13,26,39,-23,15:38,1650,19.9,33:17:00, LW
398,Rutta Jan,CHI/TB,37,2,6,8,4,15:36,787,21.3,72:06:00, D
399,Strome Ryan,EDM/NYR,81,19,16,35,-3,15:34,1658,20.5,36:02:00, C
400,Borowiecki Mark,OTT,53,1,4,5,-12,15:34,1214,22.9,165:02:00, D
401,Lehkonen Artturi,MTL,82,11,20,31,10,15:33,1780,21.7,41:09:00, LW
402,Thornton Joe,SJ,73,16,35,51,8,15:33,1492,20.4,22:15, C
403,Lauzon Jeremy,BOS,16,1,0,1,-1,15:32,350,21.9,248:37:00, D
404,Nylander William,TOR,54,7,20,27,-4,15:31,1145,21.2,31:01:00, RW
405,Beaulieu Nathan,BUF/WPG,48,3,9,12,6,15:30,929,19.4,62:01:00, D
406,Valimaki Juuso,CGY,24,1,2,3,-2,15:29,475,19.8,123:52:00, D
407,Hornqvist Patric,PIT,69,18,19,37,-3,15:29,1412,20.5,28:51:00, RW
408,Bortuzzo Robert,STL,59,2,8,10,9,15:28,1323,22.4,91:17:00, D
409,Sbisa Luca,NYI,9,0,1,1,0,15:28,197,21.9,139:13:00, D
410,Walker Sean,LA,39,3,7,10,-8,15:26,783,20.1,60:11:00, D
411,Jarnkrok Calle,NSH,79,10,16,26,13,15:26,1688,21.4,46:53:00, C
412,Nelson Casey,BUF,38,1,5,6,1,15:25,752,19.8,97:35:00, D
413,Abdelkader Justin,DET,71,6,13,19,-14,15:24,1465,20.6,57:32:00, LW
414,Zadina Filip,DET,9,1,2,3,-5,15:23,182,20.2,46:09:00, RW
415,Eakin Cody,VGS,78,22,19,41,19,15:23,1421,18.2,29:15:00, C
416,Myers Philippe,PHI,21,1,1,2,-5,15:22,409,19.5,161:21:00, RW
417,Hirose Taro,DET,10,1,6,7,0,15:18,194,19.4,21:51, LW
418,Smith Brendan,NYR,63,4,9,13,-7,15:18,1291,20.5,74:07:00, D
419,Gryba Eric,NJ,10,0,0,0,-1,15:18,194,19.4,0:00, D
420,Hinostroza Vinnie,ARI,72,16,23,39,-4,15:16,1497,20.8,28:11:00, C
421,Trotman Zach,PIT,13,0,1,1,4,15:16,273,21.0,198:27:00, D
422,Konecny Travis,PHI,82,24,25,49,-4,15:16,1652,20.1,25:32:00, C
423,Bowey Madison,DET/WSH,50,2,8,10,-1,15:16,970,19.4,76:17:00, D
424,Barberio Mark,COL,12,1,0,1,-6,15:14,232,19.3,182:42:00, D
425,Janmark Mattias,DAL,81,6,19,25,-4,15:13,1774,21.9,49:18:00, C
426,Simek Radim,SJ,41,1,8,9,7,15:13,850,20.7,69:19:00, D
427,Marincin Martin,TOR,24,1,4,5,-4,15:12,523,21.8,72:57:00, D
428,McIlrath Dylan,DET,7,0,0,0,2,15:11,133,19.0,0:00, D
429,Buchnevich Pavel,NYR,64,21,17,38,-10,15:10,1235,19.3,25:33:00, LW
430,Bratt Jesper,NJ,51,8,25,33,-8,15:10,961,18.8,23:26, LW
431,Baertschi Sven,VAN,26,9,5,14,-9,15:08,520,20.0,28:06:00, LW
432,Smith Craig,NSH,76,21,17,38,11,15:08,1545,20.3,30:15:00, C
433,Bjugstad Nick,PIT/FLA,64,14,12,26,6,15:07,1340,20.9,37:13:00, C
434,Patrick Nolan,PHI,72,13,18,31,-8,15:05,1484,20.6,35:01:00, C
435,Wennberg Alexander,CBJ,75,2,23,25,-1,15:05,1497,20.0,45:13:00, C
436,Riemsdyk van Trevor,CAR,78,3,11,14,-4,15:04,1563,20.0,83:53:00, D
437,Granlund Markus,VAN,77,12,10,22,-4,15:03,1663,21.6,52:38:00, C
438,Guhle Brendan,BUF/ANA,8,0,1,1,-2,15:01,161,20.1,120:07:00, D
439,Ritchie Nick,ANA,60,9,22,31,6,15:00,1153,19.2,29:02:00, LW
440,Phaneuf Dion,LA,67,1,5,6,-21,15:00,1420,21.2,167:29:00, D
441,Brassard Derick,PIT/COL/FLA,70,14,9,23,-19,15:00,1406,20.1,45:38:00, C
442,Goldobin Nikolay,VAN,63,7,20,27,-10,14:59,1243,19.7,34:58:00, RW
443,Grundstrom Carl,LA,15,5,1,6,-4,14:58,285,19.0,37:25:00, RW
444,Steel Sam,ANA,22,6,5,11,2,14:58,421,19.1,29:55:00, C
445,Neal James,CGY,63,7,12,19,-5,14:57,1252,19.9,49:35:00, LW
446,Benning Matthew,EDM,70,5,12,17,11,14:57,1499,21.4,61:32:00, D
447,Howden Brett,NYR,66,6,17,23,-16,14:56,1322,20.0,42:52:00, C
448,Jacobs Josh,NJ,1,0,0,0,-1,14:54,19,19.0,0:00, D
449,Hunt Brad,MIN/VGS,42,5,7,12,-2,14:53,771,18.4,52:06:00, D
450,Palat Ondrej,TB,64,8,26,34,4,14:53,1208,18.9,28:01:00, LW
451,Kerfoot Alexander,COL,78,15,27,42,-9,14:53,1486,19.1,27:38:00, C
452,Gleason Ben,DAL,4,0,1,1,-1,14:53,78,19.5,59:31:00, D
453,Killorn Alex,TB,82,18,22,40,22,14:52,1632,19.9,30:29:00, C
454,Kiselevich Bogdan,FLA/WPG,32,0,8,8,-3,14:51,628,19.6,59:25:00, D
455,Laughton Scott,PHI,82,12,20,32,-11,14:51,1668,20.3,38:03:00, C
456,Cirelli Anthony,TB,82,19,20,39,25,14:51,1644,20.0,31:13:00, C
457,Manning Brandon,CHI/EDM,39,2,2,4,-15,14:50,858,22.0,144:42:00, D
458,Perry Corey,ANA,31,6,4,10,-16,14:49,572,18.5,45:57:00, RW
459,Virtanen Jake,VAN,70,15,10,25,-4,14:49,1522,21.7,41:29:00, RW
460,Kassian Zack,EDM,79,15,11,26,-6,14:48,1564,19.8,44:58:00, RW
461,Wallmark Lucas,CAR,81,10,18,28,-8,14:48,1763,21.8,42:47:00, C
462,Oleksiak Jamie,DAL/PIT,57,4,8,12,5,14:44,1175,20.6,69:58:00, D
463,Hagelin Carl,LA/PIT/WSH,58,5,14,19,7,14:44,1153,19.9,44:57:00, LW
464,Gravel Kevin,EDM,36,0,3,3,-2,14:43,752,20.9,176:30:00, D
465,Miller J.T.,TB,75,13,34,47,8,14:40,1360,18.1,23:24, C
466,Vatrano Frank,FLA,81,24,15,39,-10,14:40,1620,20.0,30:27:00, C
467,Svechnikov Andrei,CAR,82,20,17,37,0,14:39,1685,20.5,32:27:00, RW
468,Beauvillier Anthony,NYI,81,18,10,28,1,14:39,1435,17.7,42:21:00, LW
469,Lowry Adam,WPG,78,12,11,23,6,14:38,1688,21.6,49:38:00, C
470,Kampfer Steven,BOS,35,3,3,6,-6,14:38,713,20.4,85:19:00, D
471,Sheary Conor,BUF,78,14,20,34,-18,14:37,1480,19.0,33:32:00, LW
472,Aberg Pontus,ANA/MIN,59,12,13,25,-14,14:36,1107,18.8,34:26:00, LW
473,Comtois Max,ANA,10,2,5,7,3,14:35,190,19.0,20:50, LW
474,Lindgren Ryan,NYR,5,0,0,0,-6,14:35,102,20.4,0:00, D
475,Gagner Sam,EDM/VAN,32,6,7,13,-6,14:35,596,18.6,35:54:00, C
476,Helm Darren,DET,61,7,10,17,-11,14:34,1264,20.7,52:17:00, C
477,Byron Paul,MTL,56,15,16,31,16,14:34,1160,20.7,26:18:00, C
478,Sautner Ashton,VAN,17,0,1,1,-2,14:33,358,21.1,247:15:00, D
479,Megna Jaycob,ANA,28,1,3,4,-1,14:32,599,21.4,101:43:00, D
480,McCann Jared,PIT/FLA,78,19,16,35,-1,14:32,1696,21.7,32:22:00, C
481,Ho-Sang Josh,NYI,10,1,1,2,2,14:31,177,17.7,72:37:00, RW
482,Kempe Adrian,LA,81,12,16,28,-10,14:30,1696,20.9,41:56:00, RW
483,Watson Austin,NSH,37,7,9,16,11,14:30,744,20.1,33:30:00, LW
484,Martinook Jordan,CAR,82,15,10,25,1,14:29,1735,21.2,47:30:00, LW
485,Pirri Brandon,VGS,31,12,6,18,7,14:27,515,16.6,24:52:00, C
486,Caggiula Drake,CHI/EDM,55,12,11,23,-5,14:26,1042,18.9,34:30:00, C
487,Grabner Michael,ARI,41,9,7,16,-2,14:23,898,21.9,36:52:00, RW
488,Dvorak Christian,ARI,20,2,5,7,-2,14:23,405,20.3,41:06:00, C
489,Heed Tim,SJ,37,2,11,13,9,14:22,671,18.1,40:53:00, D
490,Jaros Christian,OTT,61,1,9,10,-14,14:22,1294,21.2,87:38:00, D
491,McGinn Brock,CAR,82,10,16,26,10,14:19,1700,20.7,45:07:00, LW
492,Mahura Josh,ANA,17,1,4,5,0,14:18,334,19.6,48:38:00, D
493,Larsson Johan,BUF,73,6,8,14,-8,14:18,1380,18.9,74:31:00, LW
494,Filppula Valtteri,NYI,72,17,14,31,19,14:16,1389,19.3,33:09:00, C
495,Shore Devin,DAL/ANA,76,10,19,29,-12,14:16,1558,20.5,37:22:00, C
496,White Colton,NJ,3,0,0,0,-2,14:14,62,20.7,0:00, D
497,Calvert Matt,COL,82,11,15,26,-10,14:12,1577,19.2,44:45:00, LW
498,Sobotka Vladimir,BUF,69,5,8,13,-20,14:11,1320,19.1,75:17:00, C
499,Maroon Patrick,STL,74,10,18,28,-3,14:10,1287,17.4,37:26:00, LW
500,Siegenthaler Jonas,WSH,26,0,4,4,6,14:09,481,18.5,91:59:00, D
501,Kahun Dominik,CHI,82,13,24,37,10,14:09,1531,18.7,31:21:00, C
502,Vanek Thomas,DET,64,16,20,36,-12,14:07,1188,18.6,25:05:00, LW
503,Tanev Brandon,WPG,80,14,15,29,9,14:07,1685,21.1,38:55:00, LW
504,Ferland Micheal,CAR,71,17,23,40,13,14:06,1406,19.8,25:01:00, LW
505,Eriksson Loui,VAN,81,11,18,29,-11,14:04,1668,20.6,39:17:00, LW
506,Hintz Roope,DAL,58,9,13,22,-11,14:03,1270,21.9,37:03:00, LW
507,Pearson Tanner,LA/PIT/VAN,80,18,9,27,-15,14:03,1625,20.3,41:38:00, LW
508,Vrana Jakub,WSH,82,24,23,47,20,14:02,1415,17.3,24:29:00, C
509,Butler Chris,STL,13,1,1,2,3,14:02,265,20.4,91:15:00, D
510,Leivo Josh,TOR/VAN,76,14,10,24,5,14:02,1439,18.9,44:25:00, LW
511,Cizikas Casey,NYI,73,20,13,33,22,14:01,1476,20.2,31:01:00, C
512,Boedker Mikkel,OTT,71,7,28,35,-23,14:01,1277,18.0,28:26:00, LW
513,Lewis Trevor,LA,44,3,9,12,-9,14:01,862,19.6,51:25:00, C
514,Labanc Kevin,SJ,82,17,39,56,-1,14:01,1515,18.5,20:31, RW
515,Ozhiganov Igor,TOR,53,3,4,7,0,14:01,1016,19.2,106:06:00, D
516,Clutterbuck Cal,NYI,73,8,15,23,6,13:58,1445,19.8,44:20:00, RW
517,Heinen Danton,BOS,77,11,23,34,13,13:58,1345,17.5,31:38:00, C
518,Morrow Joe,WPG,41,1,6,7,0,13:58,669,16.3,81:45:00, D
519,Terry Troy,ANA,32,4,9,13,8,13:57,585,18.3,34:19:00, RW
520,Kampf David,CHI,63,4,15,19,-6,13:55,1261,20.0,46:09:00, C
521,Niku Sami,WPG,30,1,3,4,0,13:55,484,16.1,104:23:00, D
522,Schenn Luke,VAN/ANA,26,0,2,2,-10,13:54,535,20.6,180:46:00, D
523,Komarov Leo,NYI,82,6,20,26,18,13:53,1517,18.5,43:48:00, C
524,Eaves Patrick,ANA,7,0,0,0,-4,13:53,137,19.6,0:00, RW
525,Abramov Vitaly,OTT,1,0,0,0,-3,13:52,18,18.0,0:00, RW
526,Chlapik Filip,OTT,5,1,0,1,-2,13:52,85,17.0,69:19:00, C
527,Fedun Taylor,DAL,54,4,7,11,2,13:51,1101,20.4,68:01:00, D
528,Ladd Andrew,NYI,26,3,8,11,3,13:51,473,18.2,32:43:00, LW
529,Sundqvist Oskar,STL,74,14,17,31,-1,13:49,1384,18.7,32:59:00, C
530,Ryan Derek,CGY,81,13,25,38,21,13:48,1579,19.5,29:25:00, C
531,Davidson Brandon,CHI,10,0,1,1,-4,13:48,201,20.1,137:56:00, D
532,Brown Connor,TOR,82,8,21,29,11,13:48,1632,19.9,38:59:00, RW
533,Lewington Tyler,WSH,2,1,1,2,3,13:48,40,20.0,13:47, D
534,Chytil Filip,NYR,75,11,12,23,-22,13:47,1300,17.3,44:57:00, C
535,Okposo Kyle,BUF,78,14,15,29,-9,13:47,1361,17.4,37:04:00, RW
536,Leipsic Brendan,LA/VAN,62,7,16,23,-14,13:47,1128,18.2,37:09:00, LW
537,Tangradi Eric,NJ,6,0,1,1,-3,13:47,103,17.2,82:41:00, LW
538,Kuraly Sean,BOS,71,8,13,21,6,13:46,1304,18.4,46:34:00, C
539,Nieto Matt,COL,64,4,19,23,2,13:46,1240,19.4,38:19:00, LW
540,Blidh Anton,BOS,1,0,0,0,0,13:46,19,19.0,0:00, LW
541,Roussel Antoine,VAN,65,9,22,31,5,13:46,1402,21.6,28:51:00, LW
542,Lindblom Oskar,PHI,81,17,16,33,-9,13:45,1532,18.9,33:44:00, LW
543,Kotkaniemi Jesperi,MTL,79,11,23,34,1,13:44,1452,18.4,31:55:00, C
544,Lyubushkin Ilya,ARI,41,0,4,4,-9,13:44,768,18.7,140:49:00, D
545,Honka Julius,DAL,29,0,4,4,-2,13:43,557,19.2,99:25:00, D
546,Donato Ryan,BOS/MIN,56,10,15,25,-15,13:42,977,17.4,30:41:00, C
547,Wood Miles,NJ,63,10,14,24,-10,13:42,1113,17.7,35:56:00, LW
548,Hanley Joel,DAL,16,0,0,0,0,13:42,306,19.1,0:00, D
549,Lappin Nick,NJ,11,0,0,0,-6,13:41,193,17.5,0:00, RW
550,Johnsson Andreas,TOR,73,20,23,43,14,13:40,1406,19.3,23:12, LW
551,Teves Josh,VAN,1,0,0,0,-1,13:40,17,17.0,0:00, D
552,Lashoff Brian,DET,4,0,1,1,-1,13:40,80,20.0,54:38:00, D
553,Aston-Reese Zach,PIT,43,8,9,17,12,13:39,877,20.4,34:32:00, C
554,Beagle Jay,VAN,57,3,10,13,-8,13:39,1239,21.7,59:52:00, C
555,Greenway Jordan,MIN,81,12,12,24,-12,13:38,1448,17.9,45:59:00, LW
556,Girgensons Zemgus,BUF,72,5,13,18,-11,13:37,1306,18.1,54:26:00, C
557,Djoos Christian,WSH,45,1,9,10,9,13:34,782,17.4,61:04:00, D
558,Archibald Josh,ARI,68,12,10,22,1,13:34,1397,20.5,41:56:00, RW
559,Wilson Colin,COL,65,12,15,27,-6,13:34,1182,18.2,32:39:00, C
560,Cousins Nick,ARI,81,7,20,27,-8,13:33,1532,18.9,40:38:00, C
561,Ek Eriksson Joel,MIN,58,7,7,14,-7,13:30,1076,18.6,55:57:00, C
562,Nordstrom Joakim,BOS,70,7,5,12,0,13:29,1300,18.6,78:38:00, C
563,Paajarvi Magnus,OTT,80,11,8,19,-14,13:28,1516,19.0,56:42:00, LW
564,Kukan Dean,CBJ,25,0,5,5,6,13:28,470,18.8,67:19:00, D
565,Weal Jordan,MTL/PHI/ARI,63,8,13,21,-8,13:28,1134,18.0,40:23:00, C
566,Sheahan Riley,PIT/FLA,82,9,10,19,-9,13:28,1627,19.8,58:05:00, C
567,Wagner Chris,BOS,76,12,7,19,3,13:27,1373,18.1,53:48:00, RW
568,Mittelstadt Casey,BUF,77,12,13,25,-19,13:27,1333,17.3,41:25:00, C
569,Boyle Brian,NJ/NSH,73,18,6,24,-14,13:26,1255,17.2,40:52:00, C
570,Donskoi Joonas,SJ,80,14,23,37,10,13:25,1469,18.4,29:01:00, RW
571,Batherson Drake,OTT,20,3,6,9,-2,13:25,338,16.9,29:48:00, RW
572,Pitlick Tyler,DAL,47,8,4,12,-2,13:23,972,20.7,52:24:00, RW
573,Dickinson Jason,DAL,67,6,16,22,9,13:22,1392,20.8,40:43:00, C
574,Frolik Michael,CGY,65,16,18,34,24,13:22,1138,17.5,25:32:00, RW
575,Rafferty Brogan,VAN,2,0,0,0,-1,13:21,35,17.5,0:00, D
576,Englund Andreas,OTT,3,0,0,0,-2,13:20,60,20.0,0:00, D
577,Connolly Brett,WSH,81,22,24,46,13,13:20,1267,15.6,23:28, RW
578,Simon Dominik,PIT,71,8,20,28,8,13:19,1311,18.5,33:47:00, C
579,McCoshen Ian,FLA,19,1,1,2,-2,13:19,350,18.4,126:32:00, D
580,Brown Josh,FLA,37,1,1,2,-3,13:18,723,19.5,246:03:00, D
581,Bennett Sam,CGY,71,13,14,27,-6,13:17,1276,18.0,34:56:00, C
582,Tolvanen Eeli,NSH,4,1,1,2,2,13:16,68,17.0,26:32:00, RW
583,Spezza Jason,DAL,76,8,19,27,-13,13:16,1513,19.9,37:21:00, C
584,Pietila Blake,NJ,19,0,1,1,-7,13:16,317,16.7,252:01:00, LW
585,Lucic Milan,EDM,79,6,14,20,-9,13:14,1422,18.0,52:16:00, LW
586,LaDue Paul,LA,33,2,3,5,0,13:13,579,17.5,87:15:00, D
587,Jones Max,ANA,30,2,3,5,-1,13:10,549,18.3,79:02:00, LW
588,Fischer Christian,ARI,71,11,7,18,-13,13:10,1332,18.8,51:56:00, RW
589,Belpedio Louis,MIN,2,0,0,0,0,13:08,31,15.5,0:00, D
590,Hartman Ryan,PHI/NSH,83,12,14,26,1,13:07,1476,17.8,41:52:00, RW
591,Prout Dalton,CGY,20,1,1,2,1,13:07,343,17.2,131:09:00, D
592,Thomas Robert,STL,70,9,24,33,-2,13:04,1181,16.9,27:43:00, C
593,Yamamoto Kailer,EDM,17,1,1,2,-6,13:04,298,17.5,111:01:00, RW
594,Wideman Chris,EDM/OTT/PIT/FLA,25,2,5,7,-12,13:03,470,18.8,46:38:00, D
595,Harrington Scott,CBJ,73,2,15,17,6,13:03,1338,18.3,56:01:00, D
596,Roy Kevin,ANA,3,0,0,0,-1,13:03,54,18.0,0:00, C
597,Berglund Patrik,BUF,23,2,2,4,-5,13:03,412,17.9,74:59:00, C
598,Backes David,BOS,70,7,13,20,0,13:02,1175,16.8,45:38:00, C
599,Lundestrom Isac,ANA,15,0,2,2,-1,13:02,277,18.5,97:43:00, C
600,Jost Tyson,COL,70,11,15,26,-2,13:00,1143,16.3,35:01:00, C
601,Thompson Nate,LA/MTL,78,5,8,13,-1,13:00,1542,19.8,78:01:00, C
602,Acciari Noel,BOS,72,6,8,14,-3,12:59,1238,17.2,66:47:00, C
603,Sorensen Marcus,SJ,80,17,13,30,10,12:58,1478,18.5,34:34:00, RW
604,Crouse Lawson,ARI,81,11,14,25,5,12:57,1603,19.8,41:57:00, LW
605,Falk Justin,OTT,10,0,0,0,-4,12:56,190,19.0,0:00, D
606,Agostino Kenny,MTL/NJ,63,6,18,24,-3,12:55,1072,17.0,33:54:00, LW
607,Anderson Joey,NJ,34,4,3,7,-7,12:54,582,17.1,62:39:00, RW
608,Malgin Denis,FLA,50,7,9,16,-10,12:53,944,18.9,40:16:00, C
609,Hanzal Martin,DAL,7,1,1,2,-4,12:52,140,20.0,45:01:00, C
610,Brickley Daniel,LA,4,0,1,1,-2,12:49,74,18.5,51:14:00, D
611,Garland Conor,ARI,47,13,5,18,1,12:47,810,17.2,33:23:00, RW
612,Sturm Nico,MIN,2,0,0,0,0,12:47,37,18.5,0:00, C
613,Motte Tyler,VAN,74,9,7,16,-12,12:46,1425,19.3,59:05:00, C
614,Ryan Joakim,SJ,44,0,7,7,-1,12:46,710,16.1,80:17:00, D
615,Texier Alexandre,CBJ,2,1,0,1,3,12:46,32,16.0,25:32:00, C
616,Fabbro Dante,NSH,4,1,0,1,-1,12:44,67,16.8,50:57:00, D
617,Noesen Stefan,NJ,41,3,5,8,-19,12:44,674,16.4,65:15:00, RW
618,Jankowski Mark,CGY,79,14,18,32,6,12:42,1458,18.5,31:22:00, C
619,Duclair Anthony,OTT/CBJ,74,19,14,33,-2,12:42,1286,17.4,28:28:00, LW
620,Garrison Jason,CHI/EDM,17,1,0,1,1,12:42,305,17.9,215:50:00, D
621,Brouwer Troy,FLA,75,12,9,21,-6,12:41,1384,18.5,45:19:00, RW
622,Condra Erik,DAL,6,1,0,1,-2,12:41,115,19.2,76:06:00, RW
623,Kuhnhackl Tom,NYI,36,4,5,9,1,12:41,629,17.5,50:43:00, RW
624,Bastian Nathan,NJ,7,3,0,3,0,12:41,119,17.0,29:35:00, RW
625,Dowling Justin,DAL,11,0,1,1,-4,12:40,206,18.7,139:21:00, C
626,Keeper Brady,FLA,1,0,0,0,1,12:40,18,18.0,0:00, D
