,PLAYER,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,POSITION,HEIGHT,WEIGHT,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
0,Abdelkader Justin,71,6,13,19,-14,15:24,1465,20.6,LW,"6'2""",214,32,1,11,Leg,Detroit
1,Aberg Pontus,59,12,13,25,-14,14:36,1107,18.8,LW,"5'11""",196,25,1,8,Lower body,Minnesota
2,Anderson Joey,34,4,3,7,-7,12:54,582,17.1,RW,"5'11""",190,21,1,33,Ankle,New Jersey
3,Andrighetto Sven,64,7,10,17,10,11:04,930,14.5,RW,"5'10""",188,26,1,6,Lower body,Colorado
4,Anisimov Artem,78,15,22,37,-2,16:21,1611,20.7,C,"6'4""",198,31,1,4,Concussion,Chicago
5,Archibald Josh,68,12,10,22,1,13:34,1397,20.5,RW,"5'10""",176,26,1,4,Upper body,Arizona/Phoenix
6,Armia Joel,57,13,10,23,0,15:48,1213,21.3,RW,"6'4""",210,26,1,25,Knee,Montreal
7,Arvidsson Viktor,58,34,14,48,12,19:09,1388,23.9,RW,"5'9""",180,26,2,3,Lower body,Nashville
8,Arvidsson Viktor,58,34,14,48,12,19:09,1388,23.9,RW,"5'9""",180,26,2,21,Thumb,Nashville
9,Athanasiou Andreas,76,30,24,54,-9,16:58,1677,22.1,C,"6'2""",177,24,1,2,Upper body,Detroit
10,Atkinson Cam,80,41,28,69,3,19:23,1951,24.4,RW,"5'8""",179,30,1,1,Facial,Columbus
11,Backes David,70,7,13,20,0,13:02,1175,16.8,RW,"6'3""",215,35,1,5,Upper body,Boston
12,Backlund Mikael,77,21,26,47,34,17:54,1786,23.2,C,"6'0""",200,30,1,4,Concussion,Calgary
13,Baertschi Sven,26,9,5,14,-9,15:08,520,20,LW,"5'11""",190,26,2,23,Concussion,Vancouver
14,Baertschi Sven,26,9,5,14,-9,15:08,520,20,LW,"5'11""",190,26,2,30,Concussion,Vancouver
15,Barberio Mark,12,1,0,1,-6,15:14,232,19.3,D,"6'1""",200,29,2,8,Head,Colorado
16,Barberio Mark,12,1,0,1,-6,15:14,232,19.3,D,"6'1""",200,29,2,19,Upper body,Colorado
17,Barrie Tyson,78,14,45,59,-3,21:47,1850,23.7,D,"5'10""",190,27,1,4,Lower body,Colorado
18,Bastian Nathan,7,3,0,3,0,12:41,119,17,RW,"6'4""",207,21,1,14,Upper body,New Jersey
19,Beagle Jay,57,3,10,13,-8,13:39,1239,21.7,C,"6'3""",210,33,1,24,Arm,Vancouver
20,Beaulieu Nathan,48,3,9,12,6,15:30,929,19.4,D,"6'2""",200,26,1,4,Upper body,Buffalo
21,Benn Jamie,78,27,26,53,14,18:14,1968,25.2,LW,"6'2""",205,29,2,1,Upper body,Dallas
22,Benn Jamie,78,27,26,53,14,18:14,1968,25.2,LW,"6'2""",205,29,2,2,Upper body,Dallas
23,Bennett Sam,71,13,14,27,-6,13:17,1276,18,C,"6'1""",195,23,2,2,Upper body,Calgary
24,Bennett Sam,71,13,14,27,-6,13:17,1276,18,C,"6'1""",195,23,2,5,Upper body,Calgary
25,Bergeron Patrice,65,32,47,79,23,18:28,1510,23.2,C,"6'1""",195,33,1,16,Sternoclavicular,Boston
26,Berglund Patrik,23,2,2,4,-5,13:03,412,17.9,LW,"6'4""",219,31,1,5,Upper body,Buffalo
27,Bertuzzi Tyler,73,21,26,47,11,16:31,1547,21.2,LW,"6'0""",190,24,1,7,Upper body,Detroit
28,Bishop Clark,20,1,2,3,-3,9:27,269,13.5,C,"6'1""",199,23,1,8,Lower body,Carolina
29,Bjugstad Nick,64,14,12,26,6,15:07,1340,20.9,C,"6'6""",215,26,1,16,Upper body,Florida
30,Blais Sammy,32,2,2,4,-1,9:51,429,13.4,LW,"6'2""",205,23,1,13,Lower body,St. Louis
31,Boedker Mikkel,71,7,28,35,-23,14:01,1277,18,LW,"6'0""",210,29,1,7,Mid-body,Ottawa
32,Boeser Brock,69,26,30,56,-2,19:10,1621,23.5,RW,"6'1""",208,22,2,2,Groin,Vancouver
33,Boeser Brock,69,26,30,56,-2,19:10,1621,23.5,RW,"6'1""",208,22,2,11,Groin,Vancouver
34,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,1,Lower body,Buffalo
35,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,2,Lower body,Buffalo
36,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,5,Lower body,Buffalo
37,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,8,Lower body,Buffalo
38,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,1,Upper body,Buffalo
39,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,6,Foot,Ottawa
40,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,12,Hand,Ottawa
41,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,1,Lower body,Ottawa
42,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,1,Upper body,Ottawa
43,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,4,Upper body,Ottawa
44,Bortuzzo Robert,59,2,8,10,9,15:28,1323,22.4,D,"6'4""",216,30,2,1,Lower body,St. Louis
45,Bortuzzo Robert,59,2,8,10,9,15:28,1323,22.4,D,"6'4""",216,30,2,16,Lower body,St. Louis
46,Bouwmeester Jay,78,3,14,17,-3,20:44,2077,26.6,D,"6'4""",206,35,1,3,Hip,St. Louis
47,Boychuk Johnny,74,3,16,19,10,18:50,1864,25.2,D,"6'2""",227,35,1,2,Concussion,NY Islanders
48,Boyd Travis,53,5,15,20,6,9:50,695,13.1,C,"5'11""",185,25,1,12,Lower body,Washington
49,Boyle Brian,73,18,6,24,-14,13:26,1255,17.2,C,"6'6""",245,34,2,1,Lower body,Nashville
50,Boyle Brian,73,18,6,24,-14,13:26,1255,17.2,C,"6'6""",245,34,2,5,Upper body,New Jersey
51,Bozak Tyler,72,13,25,38,-3,16:21,1534,21.3,C,"6'1""",199,33,1,9,Concussion,St. Louis
52,Brassard Derick,70,14,9,23,-19,15:00,1406,20.1,C,"6'1""",202,31,3,1,Upper body,Florida
53,Brassard Derick,70,14,9,23,-19,15:00,1406,20.1,C,"6'1""",202,31,3,9,Lower body,Pittsburgh
54,Brassard Derick,70,14,9,23,-19,15:00,1406,20.1,C,"6'1""",202,31,3,1,Upper body,Pittsburgh
55,Bratt Jesper,51,8,25,33,-8,15:10,961,18.8,LW,"5'10""",175,20,3,13,Jaw,New Jersey
56,Bratt Jesper,51,8,25,33,-8,15:10,961,18.8,LW,"5'10""",175,20,3,2,Lower body,New Jersey
57,Bratt Jesper,51,8,25,33,-8,15:10,961,18.8,LW,"5'10""",175,20,3,15,Lower body,New Jersey
58,Braun Justin,78,2,14,16,-14,20:18,1957,25.1,D,"6'2""",205,32,1,4,Knee,San Jose
59,Brisebois Guillaume,8,0,0,0,-4,11:01,134,16.8,D,"6'2""",175,21,1,7,Hip,Vancouver
60,Brodzinski Jonny,13,2,1,3,0,9:55,176,13.5,RW,"6'1""",208,26,1,59,Shoulder,Los Angeles
61,Brown Dustin,72,22,29,51,-17,20:24,1823,25.3,RW,"6'0""",210,34,1,10,Finger,Los Angeles
62,Buchnevich Pavel,64,21,17,38,-10,15:10,1235,19.3,RW,"6'3""",196,24,2,1,Concussion,NY Rangers
63,Buchnevich Pavel,64,21,17,38,-10,15:10,1235,19.3,RW,"6'3""",196,24,2,13,Thumb,NY Rangers
64,Butcher Will,78,4,26,30,-17,19:16,1804,23.1,D,"5'10""",190,24,1,1,Lower body,New Jersey
65,Byfuglien Dustin,42,4,27,31,4,24:22:00,991,23.6,D,"6'5""",4,34,4,19,Ankle,Winnipeg/Atlanta
66,Byfuglien Dustin,42,4,27,31,4,24:22:00,991,23.6,D,"6'5""",4,34,4,4,Concussion,Winnipeg/Atlanta
67,Byfuglien Dustin,42,4,27,31,4,24:22:00,991,23.6,D,"6'5""",4,34,4,15,Leg,Winnipeg/Atlanta
68,Byfuglien Dustin,42,4,27,31,4,24:22:00,991,23.6,D,"6'5""",4,34,4,2,Upper body,Winnipeg/Atlanta
69,Byron Paul,56,15,16,31,16,14:34,1160,20.7,RW,"5'9""",163,30,4,6,Arm,Montreal
70,Byron Paul,56,15,16,31,16,14:34,1160,20.7,RW,"5'9""",163,30,4,14,Lower body,Montreal
71,Byron Paul,56,15,16,31,16,14:34,1160,20.7,RW,"5'9""",163,30,4,2,Upper body,Montreal
72,Byron Paul,56,15,16,31,16,14:34,1160,20.7,RW,"5'9""",163,30,4,1,Wrist,Montreal
73,Caggiula Drake,55,12,11,23,-5,14:26,1042,18.9,C,"5'10""",176,25,3,13,Concussion,Chicago
74,Caggiula Drake,55,12,11,23,-5,14:26,1042,18.9,C,"5'10""",176,25,3,4,Hand,Edmonton
75,Caggiula Drake,55,12,11,23,-5,14:26,1042,18.9,C,"5'10""",176,25,3,3,Lower body,Edmonton
76,Callahan Ryan,52,7,10,17,7,11:08,845,16.3,RW,"5'10""",187,34,2,4,Shoulder,Tampa Bay
77,Callahan Ryan,52,7,10,17,7,11:08,845,16.3,RW,"5'10""",187,34,2,2,Upper body,Tampa Bay
78,Capobianco Kyle,2,0,0,0,-2,16:05,38,19,D,"6'1""",196,21,1,28,Lower body,Arizona/Phoenix
79,Carlo Brandon,72,2,8,10,22,20:55,1840,25.6,D,"6'5""",212,22,1,9,Upper body,Boston
80,Carlson John,80,13,57,70,21,25:04:00,2041,25.5,D,"6'3""",218,29,1,1,Lower body,Washington
81,Carpenter Ryan,68,5,13,18,-6,12:37,1079,15.9,C,"6'0""",200,28,1,8,Upper body,Vegas
82,Carrick Connor,34,2,9,11,-13,16:48,718,21.1,D,"5'11""",192,25,1,27,Foot,Dallas
83,Carrier William,54,8,1,9,-4,9:57,700,13,LW,"6'2""",212,24,1,14,Upper body,Vegas
84,Carter Jeff,76,13,20,33,-20,18:09,1827,24,C,"6'3""",219,34,2,5,Lower body,Los Angeles
85,Carter Jeff,76,13,20,33,-20,18:09,1827,24,C,"6'3""",219,34,2,1,Upper body,Los Angeles
86,Ceci Cody,74,7,19,26,-22,22:34,2048,27.7,D,"6'2""",209,25,2,3,Upper body,Ottawa
87,Ceci Cody,74,7,19,26,-22,22:34,2048,27.7,D,"6'2""",209,25,2,4,Upper body,Ottawa
88,Cehlarik Peter,20,4,2,6,3,12:36,315,15.8,LW,"6'2""",202,23,1,2,Lower body,Boston
89,Cernak Erik,58,5,11,16,25,19:15,1416,24.4,D,"6'4""",225,22,1,2,Lower body,Tampa Bay
90,Chabot Thomas,70,14,41,55,-12,24:17:00,1936,27.7,D,"6'2""",196,22,2,4,Toe,Ottawa
91,Chabot Thomas,70,14,41,55,-12,24:17:00,1936,27.7,D,"6'2""",196,22,2,8,Upper body,Ottawa
92,Chara Zdeno,62,5,9,14,22,21:05,1515,24.4,D,"6'9""",250,42,1,19,Knee,Boston
93,Chiarot Ben,78,5,15,20,6,18:37,1629,20.9,D,"6'3""",219,28,1,4,Lower body,Winnipeg/Atlanta
94,Chiasson Alex,73,22,16,38,-1,16:58,1572,21.5,RW,"6'4""",208,28,1,3,Knee,Edmonton
95,Cholowski Dennis,52,7,9,16,-20,18:15,1219,23.4,D,"6'1""",165,21,1,2,Upper body,Detroit
96,Chychrun Jakob,53,5,15,20,-12,20:15,1235,23.3,D,"6'2""",210,21,3,16,Knee,Arizona/Phoenix
97,Chychrun Jakob,53,5,15,20,-12,20:15,1235,23.3,D,"6'2""",210,21,3,4,Lower body,Arizona/Phoenix
98,Chychrun Jakob,53,5,15,20,-12,20:15,1235,23.3,D,"6'2""",210,21,3,2,Upper body,Arizona/Phoenix
99,Cizikas Casey,73,20,13,33,22,14:01,1476,20.2,C,"5'11""",195,28,3,1,Lower body,NY Islanders
100,Cizikas Casey,73,20,13,33,22,14:01,1476,20.2,C,"5'11""",195,28,3,2,Lower body,NY Islanders
101,Cizikas Casey,73,20,13,33,22,14:01,1476,20.2,C,"5'11""",195,28,3,6,Lower body,NY Islanders
102,Claesson Fredrik,37,2,4,6,3,17:15,837,22.6,D,"6'1""",196,26,2,13,Shoulder,NY Rangers
103,Claesson Fredrik,37,2,4,6,3,17:15,837,22.6,D,"6'1""",196,26,2,9,Upper body,NY Rangers
104,Clifford Kyle,72,11,10,21,4,10:29,1084,15.1,LW,"6'2""",211,28,1,7,Upper body,Los Angeles
105,Clutterbuck Cal,73,8,15,23,6,13:58,1445,19.8,RW,"5'11""",216,31,3,1,Lower body,NY Islanders
106,Clutterbuck Cal,73,8,15,23,6,13:58,1445,19.8,RW,"5'11""",216,31,3,2,Upper body,NY Islanders
107,Clutterbuck Cal,73,8,15,23,6,13:58,1445,19.8,RW,"5'11""",216,31,3,3,Upper body,NY Islanders
108,Coburn Braydon,74,4,19,23,4,16:07,1504,20.3,D,"6'5""",223,34,1,1,Upper body,Tampa Bay
109,Cogliano Andrew,78,6,11,17,1,12:35,1547,19.8,C,"5'10""",177,32,1,3,Upper body,Dallas
110,Cole Ian,71,2,13,15,-1,19:45,1682,23.7,D,"6'1""",219,30,1,11,Orbital bone,Colorado
111,Coleman Blake,78,22,14,36,-19,17:01,1656,21.2,C,"5'11""",200,27,1,4,Upper body,New Jersey
112,Comeau Blake,77,7,11,18,-7,15:44,1776,23.1,LW,"6'1""",200,33,1,3,Upper body,Dallas
113,Compher J.T.,66,16,16,32,-8,17:29,1441,21.8,LW,"6'0""",193,24,1,16,Concussion,Colorado
114,Connauton Kevin,50,1,7,8,-2,18:21,1133,22.7,D,"6'2""",205,29,2,1,Lower body,Arizona/Phoenix
115,Connauton Kevin,50,1,7,8,-2,18:21,1133,22.7,D,"6'2""",205,29,2,5,Lower body,Arizona/Phoenix
116,Copp Andrew,69,11,14,25,20,12:10,1215,17.6,C,"6'1""",206,24,1,3,Concussion,Winnipeg/Atlanta
117,Couturier Sean,80,33,43,76,2,22:08,2143,26.8,C,"6'3""",211,26,1,2,Lower body,Philadelphia
118,Crosby Sidney,79,35,65,100,18,21:00,2036,25.8,C,"5'11""",200,31,1,3,Upper body,Pittsburgh
119,Cullen Matt,71,7,13,20,6,11:31,1307,18.4,C,"6'1""",202,42,1,11,Lower body,Pittsburgh
120,Daley Trevor,44,2,6,8,-3,18:34,1157,26.3,D,"5'11""",195,35,5,2,Back,Detroit
121,Daley Trevor,44,2,6,8,-3,18:34,1157,26.3,D,"5'11""",195,35,5,11,Back,Detroit
122,Daley Trevor,44,2,6,8,-3,18:34,1157,26.3,D,"5'11""",195,35,5,16,Foot,Detroit
123,Daley Trevor,44,2,6,8,-3,18:34,1157,26.3,D,"5'11""",195,35,5,5,Lower body,Detroit
124,Daley Trevor,44,2,6,8,-3,18:34,1157,26.3,D,"5'11""",195,35,5,4,Upper body,Detroit
125,Davidson Brandon,10,0,1,1,-4,13:48,201,20.1,D,"6'2""",208,27,1,24,Leg,Chicago
126,DeBrusk Jake,68,27,15,42,2,16:10,1319,19.4,LW,"6'0""",188,22,2,9,Concussion,Boston
127,DeBrusk Jake,68,27,15,42,2,16:10,1319,19.4,LW,"6'0""",188,22,2,5,Foot,Boston
128,DeKeyser Danny,52,5,15,20,2,21:58,1479,28.4,D,"6'3""",192,29,3,8,Hand,Detroit
129,DeKeyser Danny,52,5,15,20,2,21:58,1479,28.4,D,"6'3""",192,29,3,19,Hand,Detroit
130,DeKeyser Danny,52,5,15,20,2,21:58,1479,28.4,D,"6'3""",192,29,3,3,Lower body,Detroit
131,DeMelo Dylan,77,4,18,22,-1,19:17,1972,25.6,D,"6'1""",195,26,1,5,Upper body,Ottawa
132,Demers Jason,35,2,6,8,9,20:00,909,26,D,"6'1""",195,31,1,47,Knee,Arizona/Phoenix
133,Dermott Travis,64,4,13,17,-5,17:18,1453,22.7,D,"6'0""",204,22,1,14,Shoulder,Toronto
134,Deslauriers Nicolas,48,2,3,5,-12,10:02,668,13.9,LW,"6'1""",221,28,1,6,Facial,Montreal
135,Dickinson Jason,67,6,16,22,9,13:22,1392,20.8,C,"6'2""",200,24,2,11,Back,Dallas
136,Dickinson Jason,67,6,16,22,9,13:22,1392,20.8,C,"6'2""",200,24,2,2,Lower body,Dallas
137,Djoos Christian,45,1,9,10,9,13:34,782,17.4,D,"6'0""",169,24,1,24,Thigh,Washington
138,Dowling Justin,11,0,1,1,-4,12:40,206,18.7,C,"5'10""",180,28,1,3,Upper body,Dallas
139,Dube Dillon,25,1,4,5,2,10:04,350,14,LW,"5'10""",183,20,2,4,Concussion,Calgary
140,Dube Dillon,25,1,4,5,2,10:04,350,14,LW,"5'10""",183,20,2,1,Lower body,Calgary
141,Dubinsky Brandon,61,6,8,14,-16,12:21,1178,19.3,C,"6'2""",205,33,3,7,Hip,Columbus
142,Dubinsky Brandon,61,6,8,14,-16,12:21,1178,19.3,C,"6'2""",205,33,3,4,Lower body,Columbus
143,Dubinsky Brandon,61,6,8,14,-16,12:21,1178,19.3,C,"6'2""",205,33,3,10,Oblique,Columbus
144,Duchene Matt,73,31,39,70,-3,18:50,1601,21.9,C,"5'11""",195,28,1,6,Groin,Ottawa
145,Dumoulin Brian,76,3,20,23,31,21:02,2110,27.8,D,"6'4""",207,27,2,3,Concussion,Pittsburgh
146,Dumoulin Brian,76,3,20,23,31,21:02,2110,27.8,D,"6'4""",207,27,2,3,Lower body,Pittsburgh
147,Dunn Vince,78,12,23,35,14,17:32,1820,23.3,D,"6'0""",203,22,1,2,Lower body,St. Louis
148,Dvorak Christian,20,2,5,7,-2,14:23,405,20.3,C,"6'0""",195,23,2,4,Lower body,Arizona/Phoenix
149,Dvorak Christian,20,2,5,7,-2,14:23,405,20.3,C,"6'0""",195,23,2,58,Pectoral,Arizona/Phoenix
150,Dzingel Ryan,78,26,30,56,-9,16:49,1583,20.3,LW,"6'0""",190,27,1,2,Lower body,Ottawa
151,Eakin Cody,78,22,19,41,19,15:23,1421,18.2,C,"6'0""",190,28,1,3,Lower body,Vegas
152,Eaves Patrick,7,0,0,0,-4,13:53,137,19.6,RW,"5'11""",203,35,2,33,Ribs,Anaheim
153,Eaves Patrick,7,0,0,0,-4,13:53,137,19.6,RW,"5'11""",203,35,2,13,Shoulder,Anaheim
154,Eberle Jordan,78,19,18,37,-6,16:32,1514,19.4,RW,"5'11""",187,29,1,4,Upper body,NY Islanders
155,Edler Alexander,56,10,24,34,3,24:34:00,1683,30.1,D,"6'3""",212,33,2,11,Concussion,Vancouver
156,Edler Alexander,56,10,24,34,3,24:34:00,1683,30.1,D,"6'3""",212,33,2,15,Knee,Vancouver
157,Edmundson Joel,64,2,9,11,8,19:23,1691,26.4,D,"6'4""",215,26,3,2,Groin,St. Louis
158,Edmundson Joel,64,2,9,11,8,19:23,1691,26.4,D,"6'4""",215,26,3,2,Hand,St. Louis
159,Edmundson Joel,64,2,9,11,8,19:23,1691,26.4,D,"6'4""",215,26,3,11,Lower body,St. Louis
160,Ehlers Nikolaj,62,21,16,37,2,15:46,1190,19.2,LW,"6'0""",172,23,1,20,Shoulder,Winnipeg/Atlanta
161,Eichel Jack,77,28,54,82,-11,20:26,1756,22.8,C,"6'2""",206,22,1,3,Upper body,Buffalo
162,Ekman-Larsson Oliver,81,14,30,44,-16,23:38,2231,27.5,D,"6'2""",200,27,1,1,Knee,Arizona/Phoenix
163,Eller Lars,81,13,23,36,-1,16:32,1576,19.5,C,"6'2""",207,30,1,1,Lower body,Washington
164,Engelland Deryk,74,2,10,12,-3,19:53,1740,23.5,D,"6'2""",214,37,1,3,Arm,Vegas
165,Ennis Tyler,51,12,6,18,-6,9:56,683,13.4,LW,"5'9""",161,29,1,18,Ankle,Toronto
166,Ericsson Jonathan,52,3,2,5,-10,17:13,1235,23.8,D,"6'4""",220,35,2,5,Lower body,Detroit
167,Ericsson Jonathan,52,3,2,5,-10,17:13,1235,23.8,D,"6'4""",220,35,2,7,Upper body,Detroit
168,Erne Adam,65,7,13,20,10,10:33,976,15,LW,"6'1""",214,24,1,1,Upper body,Tampa Bay
169,Fabbri Robby,32,2,4,6,-4,12:39,521,16.3,LW,"5'10""",190,23,2,10,Groin,St. Louis
170,Fabbri Robby,32,2,4,6,-4,12:39,521,16.3,LW,"5'10""",190,23,2,10,Shoulder,St. Louis
171,Faksa Radek,81,15,15,30,-3,16:26,1953,24.1,C,"6'3""",220,25,1,1,Neck,Dallas
172,Falk Justin,10,0,0,0,-4,12:56,190,19,D,"6'5""",224,30,1,12,Concussion,Ottawa
173,Fantenberg Oscar,61,2,2,4,3,16:00,1295,21.2,D,"6'0""",206,27,1,3,Lower body,Los Angeles
174,Fast Jesper,66,8,12,20,-3,15:43,1420,21.5,RW,"6'1""",192,27,2,5,Upper body,NY Rangers
175,Fast Jesper,66,8,12,20,-3,15:43,1420,21.5,RW,"6'1""",192,27,2,10,Upper body,NY Rangers
176,Ferland Micheal,71,17,23,40,13,14:06,1406,19.8,LW,"6'1""",217,27,5,1,Back,Carolina
177,Ferland Micheal,71,17,23,40,13,14:06,1406,19.8,LW,"6'1""",217,27,5,4,Concussion,Carolina
178,Ferland Micheal,71,17,23,40,13,14:06,1406,19.8,LW,"6'1""",217,27,5,1,Upper body,Carolina
179,Ferland Micheal,71,17,23,40,13,14:06,1406,19.8,LW,"6'1""",217,27,5,2,Upper body,Carolina
180,Ferland Micheal,71,17,23,40,13,14:06,1406,19.8,LW,"6'1""",217,27,5,3,Upper body,Carolina
181,Filppula Valtteri,72,17,14,31,19,14:16,1389,19.3,C,"6'0""",196,35,2,2,Upper body,NY Islanders
182,Filppula Valtteri,72,17,14,31,19,14:16,1389,19.3,C,"6'0""",196,35,2,8,Upper body,NY Islanders
183,Fleury Haydn,20,0,1,1,4,12:32,340,17,D,"6'3""",221,22,2,3,Concussion,Carolina
184,Fleury Haydn,20,0,1,1,4,12:32,340,17,D,"6'3""",221,22,2,9,Concussion,Carolina
185,Formenton Alex,9,1,0,1,-2,11:40,138,15.3,LW,"6'2""",174,19,1,3,Concussion,Ottawa
186,Forsberg Filip,64,28,22,50,8,18:37,1577,24.6,LW,"6'1""",205,24,2,1,Upper body,Nashville
187,Forsberg Filip,64,28,22,50,8,18:37,1577,24.6,LW,"6'1""",205,24,2,17,Upper body,Nashville
188,Forsling Gustav,43,3,6,9,-9,17:05,994,23.1,D,"6'0""",186,23,3,6,Shoulder,Chicago
189,Forsling Gustav,43,3,6,9,-9,17:05,994,23.1,D,"6'0""",186,23,3,8,Torso,Chicago
190,Forsling Gustav,43,3,6,9,-9,17:05,994,23.1,D,"6'0""",186,23,3,8,Wrist,Chicago
191,Fowler Cam,59,5,18,23,-14,23:22,1727,29.3,D,"6'2""",206,27,1,23,Facial,Anaheim
192,Fritz Tanner,8,0,1,1,-3,10:49,113,14.1,C,"5'11""",192,27,1,5,Hand,NY Islanders
193,Frolik Michael,65,16,18,34,24,13:22,1138,17.5,RW,"6'1""",190,31,1,15,Lower body,Calgary
194,Gabriel Kurtis,22,2,2,4,0,7:22,254,11.5,RW,"6'4""",212,26,1,3,Upper body,New Jersey
195,Galchenyuk Alex,72,19,22,41,-19,15:44,1485,20.6,C,"6'1""",207,25,2,3,Lower body,Arizona/Phoenix
196,Galchenyuk Alex,72,19,22,41,-19,15:44,1485,20.6,C,"6'1""",207,25,2,7,Lower body,Arizona/Phoenix
197,Gardiner Jake,62,3,27,30,19,21:13,1635,26.4,D,"6'2""",203,29,2,2,Back,Toronto
198,Gardiner Jake,62,3,27,30,19,21:13,1635,26.4,D,"6'2""",203,29,2,18,Back,Toronto
199,Gauthier Frederik,70,3,11,14,3,8:22,867,12.4,C,"6'5""",235,24,1,2,Foot,Toronto
200,Getzlaf Ryan,67,14,34,48,-19,19:28,1568,23.4,C,"6'4""",225,34,4,5,Groin,Anaheim
201,Getzlaf Ryan,67,14,34,48,-19,19:28,1568,23.4,C,"6'4""",225,34,4,1,Upper body,Anaheim
202,Getzlaf Ryan,67,14,34,48,-19,19:28,1568,23.4,C,"6'4""",225,34,4,4,Upper body,Anaheim
203,Getzlaf Ryan,67,14,34,48,-19,19:28,1568,23.4,C,"6'4""",225,34,4,5,Upper body,Anaheim
204,Gibbons Brian,64,8,11,19,-5,10:55,1037,16.2,C,"5'8""",175,31,1,1,Hand,Anaheim
