,PLAYER,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,POSITION,HEIGHT,WEIGHT,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
284,Kampf David,63,4,15,19,-6,13:55,1261,20,C,"6'2""",188,24,2,2,Facial,Chicago
285,Kampf David,63,4,15,19,-6,13:55,1261,20,C,"6'2""",188,24,2,12,Foot,Chicago
286,Kane Evander,75,30,26,56,-4,18:25,1734,23.1,LW,"6'2""",210,27,1,5,Mid-body,San Jose
287,Kapanen Kasperi,78,20,24,44,12,16:37,1805,23.1,RW,"6'1""",192,22,1,4,Concussion,Toronto
288,Karlsson Erik,53,3,42,45,6,24:29:00,1384,26.1,D,"6'0""",190,29,3,1,Groin,San Jose
289,Karlsson Erik,53,3,42,45,6,24:29:00,1384,26.1,D,"6'0""",190,29,3,17,Groin,San Jose
290,Karlsson Erik,53,3,42,45,6,24:29:00,1384,26.1,D,"6'0""",190,29,3,9,Lower body,San Jose
291,Karlsson Melker,79,12,4,16,-1,11:30,1405,17.8,C,"6'0""",180,28,1,3,Lower body,San Jose
292,Kase Ondrej,30,11,9,20,0,15:39,593,19.8,RW,"5'11""",186,23,2,18,Concussion,Anaheim
293,Kase Ondrej,30,11,9,20,0,15:39,593,19.8,RW,"5'11""",186,23,2,34,Shoulder,Anaheim
294,Kassian Zack,79,15,11,26,-6,14:48,1564,19.8,RW,"6'3""",211,28,1,1,Neck,Edmonton
295,Kempe Adrian,81,12,16,28,-10,14:30,1696,20.9,C,"6'2""",201,22,1,1,Upper body,Los Angeles
296,Kempe Mario,52,4,5,9,5,11:11,918,17.7,RW,"6'0""",185,30,1,2,Upper body,Arizona/Phoenix
297,Kempny Michal,71,6,19,25,24,19:11,1560,22,D,"6'0""",194,28,2,8,Hamstring,Washington
298,Kempny Michal,71,6,19,25,24,19:11,1560,22,D,"6'0""",194,28,2,2,Upper body,Washington
299,Kerfoot Alexander,78,15,27,42,-9,14:53,1486,19.1,C,"5'10""",175,24,1,4,Upper body,Colorado
300,Kesler Ryan,60,5,3,8,-19,16:30,1358,22.6,C,"6'2""",206,34,3,3,Hip,Anaheim
301,Kesler Ryan,60,5,3,8,-19,16:30,1358,22.6,C,"6'2""",206,34,3,14,Hip,Anaheim
302,Kesler Ryan,60,5,3,8,-19,16:30,1358,22.6,C,"6'2""",206,34,3,5,Lower body,Anaheim
303,Khaira Jujhar,60,3,15,18,-12,12:34,1073,17.9,LW,"6'4""",212,24,1,5,Foot,Edmonton
304,Kiselevich Bogdan,32,0,8,8,-3,14:51,628,19.6,D,"6'0""",207,29,1,2,Jaw,Florida
305,Klefbom Oscar,61,5,23,28,-11,23:59,1695,27.8,D,"6'3""",216,25,1,21,Hand,Edmonton
306,Klingberg John,64,10,35,45,6,24:32:00,1719,26.9,D,"6'2""",180,26,1,18,Hand,Dallas
307,Knight Corban,23,1,3,4,-5,9:41,304,13.2,RW,"6'2""",195,28,2,44,Collarbone,Philadelphia
308,Knight Corban,23,1,3,4,-5,9:41,304,13.2,RW,"6'2""",195,28,2,5,Upper body,Philadelphia
309,Koivu Mikko,48,8,21,29,-2,18:18,1086,22.6,C,"6'3""",219,36,2,29,Knee,Minnesota
310,Koivu Mikko,48,8,21,29,-2,18:18,1086,22.6,C,"6'3""",219,36,2,4,Lower body,Minnesota
311,Kovalchuk Ilya,64,16,18,34,-26,16:14,1263,19.7,LW,"6'3""",222,36,2,10,Ankle,Los Angeles
312,Kovalchuk Ilya,64,16,18,34,-26,16:14,1263,19.7,LW,"6'3""",222,36,2,1,Upper body,Los Angeles
313,Kreider Chris,79,28,24,52,4,17:24,1783,22.6,LW,"6'3""",216,28,1,3,Lower body,NY Rangers
314,Krug Torey,64,6,47,53,-2,21:18,1599,25,D,"5'9""",186,28,2,11,Ankle,Boston
315,Krug Torey,64,6,47,53,-2,21:18,1599,25,D,"5'9""",186,28,2,6,Concussion,Boston
316,Kruger Marcus,74,4,8,12,-2,10:25,1231,16.6,C,"6'0""",186,29,2,4,Concussion,Chicago
317,Kruger Marcus,74,4,8,12,-2,10:25,1231,16.6,C,"6'0""",186,29,2,3,Leg,Chicago
318,Kulikov Dmitry,57,0,6,6,4,15:40,1060,18.6,D,"6'1""",204,28,2,4,Upper body,Winnipeg/Atlanta
319,Kulikov Dmitry,57,0,6,6,4,15:40,1060,18.6,D,"6'1""",204,28,2,12,Upper body,Winnipeg/Atlanta
320,Kunin Luke,49,6,11,17,-9,15:53,1014,20.7,C,"6'0""",195,21,1,2,Upper body,Minnesota
321,Kuraly Sean,71,8,13,21,6,13:46,1304,18.4,C,"6'2""",213,26,2,2,Concussion,Boston
322,Kuraly Sean,71,8,13,21,6,13:46,1304,18.4,C,"6'2""",213,26,2,8,Hand,Boston
323,Kuznetsov Evgeny,76,21,51,72,7,18:47,1508,19.8,C,"6'2""",204,27,1,6,Upper body,Washington
324,LaDue Paul,33,2,3,5,0,13:13,579,17.5,D,"6'2""",200,26,1,5,Upper body,Los Angeles
325,Ladd Andrew,26,3,8,11,3,13:51,473,18.2,LW,"6'3""",192,33,2,6,Knee,NY Islanders
326,Ladd Andrew,26,3,8,11,3,13:51,473,18.2,LW,"6'3""",192,33,2,44,Leg,NY Islanders
327,Landeskog Gabriel,73,34,41,75,17,21:09,1711,23.4,LW,"6'1""",215,26,1,9,Shoulder,Colorado
328,Larkin Dylan,76,32,41,73,-6,21:51,1973,26,RW,"6'1""",198,22,2,5,Neck,Detroit
329,Larkin Dylan,76,32,41,73,-6,21:51,1973,26,RW,"6'1""",198,22,2,1,Oblique,Detroit
330,Larsson Jacob,49,0,5,5,-4,17:07,1163,23.7,D,"6'2""",197,22,1,4,Charley horse,Anaheim
331,Larsson Johan,73,6,8,14,-8,14:18,1380,18.9,C,"5'11""",198,26,2,3,Foot,Buffalo
332,Larsson Johan,73,6,8,14,-8,14:18,1380,18.9,C,"5'11""",198,26,2,2,Upper body,Buffalo
333,Leipsic Brendan,62,7,16,23,-14,13:47,1128,18.2,LW,"5'10""",179,25,1,9,Lower body,Los Angeles
334,Leivo Josh,76,14,10,24,5,14:02,1439,18.9,LW,"6'2""",192,26,1,3,Back,Vancouver
335,Letang Kris,65,16,40,56,13,25:58:00,1923,29.6,D,"6'0""",201,32,3,1,Lower body,Pittsburgh
336,Letang Kris,65,16,40,56,13,25:58:00,1923,29.6,D,"6'0""",201,32,3,4,Upper body,Pittsburgh
337,Letang Kris,65,16,40,56,13,25:58:00,1923,29.6,D,"6'0""",201,32,3,11,Upper body,Pittsburgh
338,Lewis Trevor,44,3,9,12,-9,14:01,862,19.6,C,"6'1""",202,32,1,38,Foot,Los Angeles
339,Lindholm Hampus,76,6,22,28,-5,24:00:00,2281,30,D,"6'3""",211,25,1,6,Lower body,Anaheim
340,Lovejoy Ben,71,2,7,9,-1,17:05,1608,22.6,D,"6'1""",205,35,2,3,Lower body,New Jersey
341,Lovejoy Ben,71,2,7,9,-1,17:05,1608,22.6,D,"6'1""",205,35,2,6,Upper body,New Jersey
342,Lowry Adam,78,12,11,23,6,14:38,1688,21.6,C,"6'5""",210,26,1,2,Upper body,Winnipeg/Atlanta
343,Lucic Milan,79,6,14,20,-9,13:14,1422,18,LW,"6'3""",231,31,2,2,Hip,Edmonton
344,Lucic Milan,79,6,14,20,-9,13:14,1422,18,LW,"6'3""",231,31,2,1,Lower body,Edmonton
345,Maatta Olli,60,1,13,14,9,18:35,1525,25.4,D,"6'2""",206,24,1,21,Upper body,Pittsburgh
346,MacDermid Kurtis,11,0,1,1,-1,9:21,146,13.3,D,"6'3""",203,25,1,3,Upper body,Los Angeles
347,MacDonald Andrew,47,0,9,9,-5,16:24,1014,21.6,D,"6'1""",204,32,1,6,Lower body,Philadelphia
348,MacKenzie Derek,1,0,0,0,0,2:43,4,4,C,"5'11""",177,38,1,81,Shoulder,Florida
349,Malgin Denis,50,7,9,16,-10,12:53,944,18.9,C,"5'9""",177,22,1,6,Upper body,Florida
350,Malkin Evgeni,68,21,51,72,-25,18:48,1554,22.9,C,"6'3""",195,32,2,5,Upper body,Pittsburgh
351,Malkin Evgeni,68,21,51,72,-25,18:48,1554,22.9,C,"6'3""",195,32,2,8,Upper body,Pittsburgh
352,Manson Josh,74,3,13,16,-8,22:18,2099,28.4,D,"6'3""",216,27,1,4,Upper body,Anaheim
353,Mantha Anthony,67,25,23,48,-8,17:50,1436,21.4,RW,"6'5""",225,24,1,15,Hand,Detroit
354,Marchand Brad,79,36,64,100,15,19:37,1821,23.1,LW,"5'9""",181,31,1,1,Upper body,Boston
355,Maroon Patrick,74,10,18,28,-3,14:10,1287,17.4,LW,"6'3""",225,31,1,4,Upper body,St. Louis
356,Martin Matt,67,6,8,14,5,11:26,1072,16,LW,"6'3""",220,30,2,4,Upper body,NY Islanders
357,Martin Matt,67,6,8,14,5,11:26,1072,16,LW,"6'3""",220,30,2,10,Upper body,NY Islanders
358,Martinez Alec,60,4,14,18,-2,21:22,1578,26.3,D,"6'1""",209,31,2,8,Upper body,Los Angeles
359,Martinez Alec,60,4,14,18,-2,21:22,1578,26.3,D,"6'1""",209,31,2,14,Upper body,Los Angeles
360,Martinsen Andreas,24,1,3,4,-5,7:56,293,12.2,C,"6'3""",229,29,1,3,Back,Chicago
361,Matthews Auston,68,37,36,73,-9,18:33,1591,23.4,C,"6'3""",223,21,1,14,Shoulder,Toronto
362,McAvoy Charlie,54,7,21,28,14,22:10,1448,26.8,D,"6'0""",208,21,2,20,Concussion,Boston
363,McAvoy Charlie,54,7,21,28,14,22:10,1448,26.8,D,"6'0""",208,21,2,7,Lower body,Boston
364,McCabe Jake,59,4,10,14,-4,18:57,1364,23.1,D,"6'1""",210,25,3,1,Upper body,Buffalo
365,McCabe Jake,59,4,10,14,-4,18:57,1364,23.1,D,"6'1""",210,25,3,9,Upper body,Buffalo
366,McCabe Jake,59,4,10,14,-4,18:57,1364,23.1,D,"6'1""",210,25,3,13,Upper body,Buffalo
367,McCann Jared,78,19,16,35,-1,14:32,1696,21.7,C,"6'1""",185,23,1,1,Upper body,Florida
368,McCormick Max,14,1,0,1,-6,7:30,153,10.9,C,"5'11""",185,27,1,7,Lower body,Ottawa
369,McGinn Jamie,19,4,3,7,-5,10:41,292,15.4,LW,"6'1""",205,30,1,48,Back,Florida
370,McLeod Cody,38,1,0,1,-13,6:29,363,9.6,LW,"6'2""",204,35,1,14,Hand,NY Rangers
371,McQuaid Adam,50,3,4,7,2,15:47,1147,22.9,D,"6'4""",210,32,2,5,Upper body,Columbus
372,McQuaid Adam,50,3,4,7,2,15:47,1147,22.9,D,"6'4""",210,32,2,21,Lower body,NY Rangers
373,Meier Timo,78,30,36,66,9,16:58,1730,22.2,RW,"6'0""",210,22,2,3,Upper body,San Jose
374,Meier Timo,78,30,36,66,9,16:58,1730,22.2,RW,"6'0""",210,22,2,1,Wrist,San Jose
375,Mete Victor,71,0,13,13,17,17:46,1650,23.2,D,"5'9""",183,21,1,2,Hand,Montreal
376,Methot Marc,9,0,0,0,-3,16:56,228,25.3,D,"6'4""",230,34,3,2,Lower body,Dallas
377,Methot Marc,9,0,0,0,-3,16:56,228,25.3,D,"6'4""",230,34,3,70,Lower body,Dallas
378,Methot Marc,9,0,0,0,-3,16:56,228,25.3,D,"6'4""",230,34,3,1,Soreness,Dallas
379,Miller Colin,65,3,26,29,0,19:39,1581,24.3,D,"6'1""",196,26,1,13,Upper body,Vegas
380,Miller J.T.,75,13,34,47,8,14:40,1360,18.1,C,"6'1""",218,26,1,6,Upper body,Tampa Bay
381,Miller Kevan,39,0,7,7,8,17:45,919,23.6,D,"6'2""",210,31,4,13,Hand,Boston
382,Miller Kevan,39,0,7,7,8,17:45,919,23.6,D,"6'2""",210,31,4,13,Larynx,Boston
383,Miller Kevan,39,0,7,7,8,17:45,919,23.6,D,"6'2""",210,31,4,1,Lower body,Boston
