,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
570,G,"6'3""",200,Schneider Cory,33,2,8,Hip,New Jersey
571,D,"6'2""",193,Schultz Justin,28,1,53,Leg,Pittsburgh
572,LW,"5'10""",190,Schwartz Jaden,27,2,2,Foot,St. Louis
573,LW,"5'10""",190,Schwartz Jaden,27,2,11,Upper body,St. Louis
574,D,"6'3""",220,Seabrook Brent,34,1,3,Abdominal,Chicago
575,D,"6'2""",198,Seeler Nick,26,1,2,Upper body,Minnesota
576,D,"6'0""",200,Sekera Andrej,33,1,58,Achilles,Edmonton
577,D,"6'0""",206,Shattenkirk Kevin,30,1,7,Shoulder,NY Rangers
578,RW,"5'11""",182,Shaw Andrew,27,1,15,Neck,Montreal
579,LW,"5'8""",175,Sheary Conor,27,1,4,Upper body,Buffalo
580,C,"6'1""",205,Shore Devin,24,2,2,Knee,Anaheim
581,C,"6'1""",205,Shore Devin,24,2,4,Lower body,Dallas
582,RW,"6'1""",204,Silfverberg Jakob,28,2,5,Finger,Anaheim
583,RW,"6'1""",204,Silfverberg Jakob,28,2,4,Lower body,Anaheim
584,C,"5'11""",190,Simon Dominik,24,1,8,Lower body,Pittsburgh
585,C,"6'1""",200,Sissons Colton,25,1,7,Ankle,Nashville
586,D,"6'3""",214,Skjei Brady,25,1,1,Knee,NY Rangers
587,D,"6'2""",195,Smith Brendan,30,1,2,Upper body,NY Rangers
588,RW,"6'1""",208,Smith Craig,29,1,6,Lower body,Nashville
589,LW,"6'2""",208,Smith Zack,31,2,3,Back,Ottawa
590,LW,"6'2""",208,Smith Zack,31,2,9,Facial,Ottawa
591,LW,"5'10""",184,Sobotka Vladimir,32,2,3,Upper body,Buffalo
592,LW,"5'10""",184,Sobotka Vladimir,32,2,5,Upper body,Buffalo
593,LW,"5'11""",175,Sorensen Marcus,27,1,2,Mouth,San Jose
594,RW,"5'11""",185,Soshnikov Nikita,25,1,10,Concussion,St. Louis
595,G,"6'3""",201,Sparks Garret,26,1,5,Concussion,Toronto
596,C,"5'11""",191,Spooner Ryan,27,2,1,Lower body,NY Rangers
597,C,"5'11""",191,Spooner Ryan,27,2,11,Groin,Vancouver
598,C,"6'4""",220,Staal Jordan,30,2,5,Concussion,Carolina
599,C,"6'4""",220,Staal Jordan,30,2,27,Concussion,Carolina
600,D,"6'4""",213,Staal Marc,32,1,2,Lower body,NY Rangers
601,RW,"6'2""",215,Stafford Drew,33,1,4,Upper body,New Jersey
602,C,"6'0""",193,Stastny Paul,33,1,30,Lower body,Vegas
603,D,"5'10""",186,Stecher Troy,25,1,3,Concussion,Vancouver
604,C,"6'0""",196,Stepan Derek,29,1,10,Leg,Arizona/Phoenix
605,G,"6'6""",210,Stolarz Anthony,25,1,16,Lower body,Philadelphia
606,D,"6'3""",210,Stone Michael,29,1,49,Blood clots,Calgary
607,D,"5'11""",190,Stralman Anton,32,2,12,Lower body,Tampa Bay
608,D,"5'11""",190,Stralman Anton,32,2,17,Upper body,Tampa Bay
609,D,"6'0""",210,Subban P.K.,30,1,19,Upper body,Nashville
610,C,"6'3""",209,Sundqvist Oskar,25,1,8,Upper body,St. Louis
611,C,"6'3""",190,Sutter Brandon,30,2,26,Hernia,Vancouver
612,C,"6'3""",190,Sutter Brandon,30,2,30,Shoulder,Vancouver
613,LW,"6'0""",180,Tanev Brandon,27,1,2,Finger,Winnipeg/Atlanta
614,RW,"6'0""",225,Tarasenko Vladimir,27,1,5,Upper body,St. Louis
615,RW,"6'1""",175,Terry Troy,21,1,3,Leg,Anaheim
616,C,"6'0""",188,Thomas Robert,20,1,7,Shoulder,St. Louis
617,C,"6'4""",220,Thornton Joe,40,1,9,Knee,San Jose
618,LW,"6'3""",196,Tkachuk Brady,19,2,2,Groin,Ottawa
619,LW,"6'3""",196,Tkachuk Brady,19,2,9,Leg,Ottawa
620,C,"5'10""",186,Trocheck Vincent,25,1,27,Ankle,Florida
621,C,"6'1""",190,Turris Kyle,29,1,17,Lower body,Nashville
622,D,"6'1""",185,Vaakanainen Urho,20,1,26,Concussion,Boston
623,D,"6'2""",212,Valimaki Juuso,20,1,28,Lower body,Calgary
624,LW,"6'2""",214,Vanek Thomas,35,3,3,Hip,Detroit
625,LW,"6'2""",214,Vanek Thomas,35,3,8,Lower body,Detroit
626,LW,"6'2""",214,Vanek Thomas,35,3,7,Mid-body,Detroit
627,G,"6'2""",205,Varlamov Semyon,31,1,2,Lower body,Colorado
628,G,"6'3""",207,Vasilevskiy Andrei,24,1,14,Foot,Tampa Bay
629,D,"5'10""",185,Vatanen Sami,28,2,14,Concussion,New Jersey
630,D,"5'10""",185,Vatanen Sami,28,2,3,Lower body,New Jersey
631,RW,"6'1""",226,Virtanen Jake,22,2,2,Lower body,Vancouver
632,RW,"6'1""",226,Virtanen Jake,22,2,10,Ribs,Vancouver
633,D,"6'1""",205,Vlasic Marc-Edouard,32,1,10,Wrist,San Jose
634,RW,"6'2""",214,Voracek Jakub,29,1,2,Lower body,Philadelphia
635,LW,"6'1""",185,Wagner Austin,22,2,4,Lower body,Los Angeles
636,LW,"6'1""",185,Wagner Austin,22,2,1,Upper body,Los Angeles
637,RW,"6'0""",198,Wagner Chris,28,2,1,Lower body,Boston
638,RW,"6'0""",198,Wagner Chris,28,2,2,Lower body,Boston
639,D,"5'11""",196,Walker Sean,24,1,2,Facial,Los Angeles
640,G,"6'1""",194,Ward Cam,35,1,4,Knee,Chicago
641,D,"6'4""",229,Weber Shea,33,1,24,Knee,Montreal
642,D,"5'11""",200,Weber Yannick,30,1,1,Upper body,Nashville
643,D,"6'0""",200,Weegar MacKenzie,25,4,4,Concussion,Florida
644,D,"6'0""",200,Weegar MacKenzie,25,4,4,Lower body,Florida
645,D,"6'0""",200,Weegar MacKenzie,25,4,3,Shoulder,Florida
646,D,"6'0""",200,Weegar MacKenzie,25,4,7,Upper body,Florida
647,C,"6'0""",183,White Colin,22,2,5,Neck,Ottawa
648,C,"6'0""",183,White Colin,22,2,5,Shoulder,Ottawa
649,D,"5'10""",180,Wideman Chris,29,1,1,Lower body,Ottawa
650,C,"6'1""",221,Wilson Colin,29,3,1,Lower body,Colorado
651,C,"6'1""",221,Wilson Colin,29,3,8,Shoulder,Colorado
652,C,"6'1""",221,Wilson Colin,29,3,8,Upper body,Colorado
653,RW,"5'11""",183,Wilson Scott,27,1,43,Ankle,Buffalo
654,LW,"6'2""",195,Wood Miles,23,3,12,Ankle,New Jersey
655,LW,"6'2""",195,Wood Miles,23,3,4,Arm,New Jersey
656,LW,"6'2""",195,Wood Miles,23,3,3,Lower body,New Jersey
657,D,"6'0""",190,Yakovlev Egor,27,1,2,Upper body,New Jersey
658,RW,"5'8""",153,Yamamoto Kailer,20,1,8,Upper body,Edmonton
659,C,"6'3""",210,Zacha Pavel,22,1,16,Upper body,New Jersey
660,D,"6'5""",230,Zadorov Nikita,24,2,10,Lower body,Colorado
661,D,"6'5""",230,Zadorov Nikita,24,2,1,Upper body,Colorado
662,C,"6'2""",185,Zajac Travis,34,1,1,Lower body,New Jersey
663,C,"6'0""",197,Zetterberg Henrik,38,1,82,Back,Detroit
664,RW,"5'8""",184,Zuccarello Mats,31,4,17,Arm,Dallas
665,RW,"5'8""",184,Zuccarello Mats,31,4,1,Foot,NY Rangers
666,RW,"5'8""",184,Zuccarello Mats,31,4,3,Groin,NY Rangers
667,RW,"5'8""",184,Zuccarello Mats,31,4,7,Groin,NY Rangers
668,D,"6'1""",195,de Haan Calvin,28,3,3,Eye,Carolina
669,D,"6'1""",195,de Haan Calvin,28,3,2,Upper body,Carolina
670,D,"6'1""",195,de Haan Calvin,28,3,3,Upper body,Carolina
671,LW,"6'3""",217,van Riemsdyk James,30,1,16,Lower body,Philadelphia
