PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD
"Daniel Carr, LW",VGS,6,1,0,1,-1,9:50,73,12.2,58:57:00
"Jack Roslovic, C",WPG,77,9,15,24,-2,9:45,1015,13.2,31:15:00
"Colin Blackwell, C",NSH,6,0,0,0,-1,9:44,86,14.3,0:00
"Gabriel Bourque, LW",COL,55,2,6,8,3,9:44,757,13.8,66:56:00
"Rem Pitlick, C",NSH,1,0,0,0,0,9:43,14,14,0:00
"Corban Knight, C",PHI,23,1,3,4,-5,9:41,304,13.2,55:39:00
"Jordan Kyrou, C",STL,16,1,2,3,-1,9:40,213,13.3,51:31:00
"Boo Nieves, C",NYR,43,4,6,10,-4,9:39,573,13.3,41:31:00
"Brett Ritchie, RW",DAL,53,4,2,6,-7,9:36,814,15.4,84:50:00
"Luke Witkowski, D",DET,34,0,2,2,-5,9:36,447,13.1,163:09:00
"Michael Bunting, LW",ARI,5,1,0,1,0,9:33,71,14.2,47:47:00
"Anthony Greco, RW",FLA,1,0,0,0,-3,9:30,16,16,0:00
"Alan Quine, C",CGY,13,3,2,5,0,9:30,172,13.2,24:41:00
"Markus Hannikainen, LW",CBJ,44,4,3,7,-5,9:29,599,13.6,59:34:00
"Clark Bishop, C",CAR,20,1,2,3,-3,9:27,269,13.5,63:02:00
"Jayce Hawryluk, C",FLA,42,7,5,12,-8,9:26,588,14,33:00:00
"Saku Maenalanen, RW",CAR,34,4,4,8,0,9:26,506,14.9,40:04:00
"Rourke Chartier, C",SJ,13,1,0,1,-5,9:24,187,14.4,122:14:00
"Trent Frederic, C",BOS,15,0,0,0,-4,9:24,198,13.2,0:00
"Gabriel Carlsson, D",CBJ,1,0,0,0,-1,9:21,17,17,0:00
"Kurtis MacDermid, D",LA,11,0,1,1,-1,9:21,146,13.3,102:49:00
"Mikhail Vorobyev, C",PHI,15,1,1,2,0,9:20,183,12.2,70:00:00
"Kole Sherwood, RW",CBJ,2,0,0,0,0,9:14,25,12.5,0:00
"Martin Frk, RW",DET,30,1,5,6,-9,9:11,389,13,45:55:00
"Kerby Rychel, LW",CGY,2,0,0,0,-1,9:11,26,13,0:00
"J.T. Brown, RW",MIN,56,3,5,8,0,9:10,692,12.4,64:11:00
"John Hayden, C",CHI,54,3,2,5,-12,9:10,712,13.2,98:56:00
"Jori Lehtera, C",PHI,27,1,2,3,-7,9:07,389,14.4,82:00:00
"Urho Vaakanainen, D",BOS,2,0,0,0,-1,9:06,25,12.5,0:00
"Trevor Moore, LW",TOR,25,2,6,8,1,9:06,335,13.4,28:25:00
"Sheldon Dries, C",COL,40,3,3,6,-7,9:04,519,13,60:29:00
"Brandon Gignac, C",NJ,1,0,0,0,-2,9:04,12,12,0:00
"Chris Kunitz, LW",CHI,56,5,5,10,-7,9:04,747,13.3,50:43:00
"Brendan Lemieux, LW",NYR/WPG,63,12,5,17,6,9:03,795,12.6,33:31:00
"Vladislav Kamenev, LW",COL,23,2,3,5,-2,9:02,295,12.8,41:34:00
"Zac Dalpe, C",CBJ,1,0,1,1,1,9:01,16,16,9:01
"Frederick Gaudreau, C",NSH,55,3,1,4,1,9:01,732,13.3,123:56:00
"Lukas Sedlak, C",CBJ,47,4,2,6,-5,9:00,620,13.2,70:29:00
"Stefan Elliott, D",OTT,3,0,1,1,1,8:59,45,15,26:57:00
"Connor Brickley, C",NYR,14,1,3,4,3,8:59,172,12.3,31:25:00
"Brad Malone, C",EDM,16,0,0,0,0,8:57,218,13.6,0:00
"Austin Wagner, LW",LA,62,12,9,21,2,8:56,827,13.3,26:21:00
"Matt Hendricks, C",WPG/MIN,26,0,3,3,-2,8:50,327,12.6,76:37:00
"Patrick Russell, RW",EDM,6,0,0,0,0,8:47,76,12.7,0:00
"Stephen Gionta, RW",NYI,5,0,0,0,-4,8:47,71,14.2,0:00
"Sheldon Rempal, RW",LA,7,0,0,0,-1,8:44,85,12.1,0:00
