PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD
"Joel Armia, RW",MTL,57,13,10,23,0,15:48,1213,21.3,39:08:00
"Vladislav Namestnikov, C",NYR,78,11,20,31,-7,15:48,1651,21.2,39:44:00
"Luke Glendening, C",DET,78,10,13,23,2,15:47,1818,23.3,53:32:00
"Adam McQuaid, D",NYR/CBJ,50,3,4,7,2,15:47,1147,22.9,112:41:00
"Nikolaj Ehlers, LW",WPG,62,21,16,37,2,15:46,1190,19.2,26:24:00
"Alex Galchenyuk, C",ARI,72,19,22,41,-19,15:44,1485,20.6,27:37:00
"Blake Comeau, LW",DAL,77,7,11,18,-7,15:44,1776,23.1,67:16:00
"Jesper Fast, RW",NYR,66,8,12,20,-3,15:43,1420,21.5,51:52:00
"Kyle Turris, C",NSH,55,7,16,23,-6,15:42,1109,20.2,37:31:00
"Matt Hunwick, D",BUF,14,0,2,2,-7,15:41,280,20,109:49:00
"Bobby Ryan, RW",OTT,78,15,27,42,-29,15:41,1563,20,29:07:00
"Egor Yakovlev, D",NJ,25,2,5,7,-6,15:40,504,20.2,55:58:00
"Cameron Gaunce, D",TB,2,0,0,0,3,15:40,39,19.5,0:00
"Wayne Simmonds, RW",PHI/NSH,79,17,13,30,-16,15:40,1530,19.4,41:15:00
"Dmitry Kulikov, D",WPG,57,0,6,6,4,15:40,1060,18.6,148:48:00
"Brooks Orpik, D",WSH,53,2,7,9,8,15:40,1030,19.4,92:14:00
"Christian Folin, D",MTL/PHI,45,0,6,6,6,15:40,979,21.8,117:26:00
"Ondrej Kase, RW",ANA,30,11,9,20,0,15:39,593,19.8,23:29
"Kevin Fiala, LW",NSH/MIN,83,13,26,39,-23,15:38,1650,19.9,33:17:00
"Jan Rutta, D",CHI/TB,37,2,6,8,4,15:36,787,21.3,72:06:00
"Ryan Strome, C",EDM/NYR,81,19,16,35,-3,15:34,1658,20.5,36:02:00
"Mark Borowiecki, D",OTT,53,1,4,5,-12,15:34,1214,22.9,165:02:00
"Artturi Lehkonen, LW",MTL,82,11,20,31,10,15:33,1780,21.7,41:09:00
"Joe Thornton, C",SJ,73,16,35,51,8,15:33,1492,20.4,22:15
"Jeremy Lauzon, D",BOS,16,1,0,1,-1,15:32,350,21.9,248:37:00
"William Nylander, RW",TOR,54,7,20,27,-4,15:31,1145,21.2,31:01:00
"Nathan Beaulieu, D",BUF/WPG,48,3,9,12,6,15:30,929,19.4,62:01:00
"Juuso Valimaki, D",CGY,24,1,2,3,-2,15:29,475,19.8,123:52:00
"Patric Hornqvist, RW",PIT,69,18,19,37,-3,15:29,1412,20.5,28:51:00
"Robert Bortuzzo, D",STL,59,2,8,10,9,15:28,1323,22.4,91:17:00
"Luca Sbisa, D",NYI,9,0,1,1,0,15:28,197,21.9,139:13:00
"Sean Walker, D",LA,39,3,7,10,-8,15:26,783,20.1,60:11:00
"Calle Jarnkrok, C",NSH,79,10,16,26,13,15:26,1688,21.4,46:53:00
"Casey Nelson, D",BUF,38,1,5,6,1,15:25,752,19.8,97:35:00
"Justin Abdelkader, LW",DET,71,6,13,19,-14,15:24,1465,20.6,57:32:00
"Filip Zadina, RW",DET,9,1,2,3,-5,15:23,182,20.2,46:09:00
"Cody Eakin, C",VGS,78,22,19,41,19,15:23,1421,18.2,29:15:00
"Philippe Myers, RW",PHI,21,1,1,2,-5,15:22,409,19.5,161:21:00
"Taro Hirose, LW",DET,10,1,6,7,0,15:18,194,19.4,21:51
"Brendan Smith, D",NYR,63,4,9,13,-7,15:18,1291,20.5,74:07:00
"Eric Gryba, D",NJ,10,0,0,0,-1,15:18,194,19.4,0:00
"Vinnie Hinostroza, C",ARI,72,16,23,39,-4,15:16,1497,20.8,28:11:00
"Zach Trotman, D",PIT,13,0,1,1,4,15:16,273,21,198:27:00
"Travis Konecny, C",PHI,82,24,25,49,-4,15:16,1652,20.1,25:32:00
"Madison Bowey, D",DET/WSH,50,2,8,10,-1,15:16,970,19.4,76:17:00
"Mark Barberio, D",COL,12,1,0,1,-6,15:14,232,19.3,182:42:00
"Mattias Janmark, C",DAL,81,6,19,25,-4,15:13,1774,21.9,49:18:00
"Radim Simek, D",SJ,41,1,8,9,7,15:13,850,20.7,69:19:00
"Martin Marincin, D",TOR,24,1,4,5,-4,15:12,523,21.8,72:57:00
"Dylan McIlrath, D",DET,7,0,0,0,2,15:11,133,19,0:00
"Pavel Buchnevich, LW",NYR,64,21,17,38,-10,15:10,1235,19.3,25:33:00
"Jesper Bratt, LW",NJ,51,8,25,33,-8,15:10,961,18.8,23:26
"Sven Baertschi, LW",VAN,26,9,5,14,-9,15:08,520,20,28:06:00
"Craig Smith, C",NSH,76,21,17,38,11,15:08,1545,20.3,30:15:00
"Nick Bjugstad, C",PIT/FLA,64,14,12,26,6,15:07,1340,20.9,37:13:00
"Nolan Patrick, C",PHI,72,13,18,31,-8,15:05,1484,20.6,35:01:00
"Alexander Wennberg, C",CBJ,75,2,23,25,-1,15:05,1497,20,45:13:00
"Trevor van Riemsdyk, D",CAR,78,3,11,14,-4,15:04,1563,20,83:53:00
"Markus Granlund, C",VAN,77,12,10,22,-4,15:03,1663,21.6,52:38:00
"Brendan Guhle, D",BUF/ANA,8,0,1,1,-2,15:01,161,20.1,120:07:00
"Nick Ritchie, LW",ANA,60,9,22,31,6,15:00,1153,19.2,29:02:00
"Dion Phaneuf, D",LA,67,1,5,6,-21,15:00,1420,21.2,167:29:00
"Derick Brassard, C",PIT/COL/FLA,70,14,9,23,-19,15:00,1406,20.1,45:38:00
"Nikolay Goldobin, RW",VAN,63,7,20,27,-10,14:59,1243,19.7,34:58:00
"Carl Grundstrom, RW",LA,15,5,1,6,-4,14:58,285,19,37:25:00
"Sam Steel, C",ANA,22,6,5,11,2,14:58,421,19.1,29:55:00
"James Neal, LW",CGY,63,7,12,19,-5,14:57,1252,19.9,49:35:00
"Matthew Benning, D",EDM,70,5,12,17,11,14:57,1499,21.4,61:32:00
"Brett Howden, C",NYR,66,6,17,23,-16,14:56,1322,20,42:52:00
"Josh Jacobs, D",NJ,1,0,0,0,-1,14:54,19,19,0:00
"Brad Hunt, D",MIN/VGS,42,5,7,12,-2,14:53,771,18.4,52:06:00
"Ondrej Palat, LW",TB,64,8,26,34,4,14:53,1208,18.9,28:01:00
"Alexander Kerfoot, C",COL,78,15,27,42,-9,14:53,1486,19.1,27:38:00
"Ben Gleason, D",DAL,4,0,1,1,-1,14:53,78,19.5,59:31:00
"Alex Killorn, C",TB,82,18,22,40,22,14:52,1632,19.9,30:29:00
"Bogdan Kiselevich, D",FLA/WPG,32,0,8,8,-3,14:51,628,19.6,59:25:00
"Scott Laughton, C",PHI,82,12,20,32,-11,14:51,1668,20.3,38:03:00
"Anthony Cirelli, C",TB,82,19,20,39,25,14:51,1644,20,31:13:00
"Brandon Manning, D",CHI/EDM,39,2,2,4,-15,14:50,858,22,144:42:00
"Corey Perry, RW",ANA,31,6,4,10,-16,14:49,572,18.5,45:57:00
"Jake Virtanen, RW",VAN,70,15,10,25,-4,14:49,1522,21.7,41:29:00
"Zack Kassian, RW",EDM,79,15,11,26,-6,14:48,1564,19.8,44:58:00
"Lucas Wallmark, C",CAR,81,10,18,28,-8,14:48,1763,21.8,42:47:00
"Jamie Oleksiak, D",DAL/PIT,57,4,8,12,5,14:44,1175,20.6,69:58:00
"Carl Hagelin, LW",LA/PIT/WSH,58,5,14,19,7,14:44,1153,19.9,44:57:00
"Kevin Gravel, D",EDM,36,0,3,3,-2,14:43,752,20.9,176:30:00
"J.T. Miller, C",TB,75,13,34,47,8,14:40,1360,18.1,23:24
"Frank Vatrano, C",FLA,81,24,15,39,-10,14:40,1620,20,30:27:00
"Andrei Svechnikov, RW",CAR,82,20,17,37,0,14:39,1685,20.5,32:27:00
