Date,Team,Acquired,Relinquised,Notes
12/29/2012,Rockets,,Carlos Delfino,illness (DNP)
12/29/2012,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP)
12/29/2012,Timberwolves,,Ricky Rubio,back spasms (DNP)
12/29/2012,Wizards,,A.J. Price,fractured right hand (DNP)
12/29/2012,Wizards,,Jordan Crawford,sore left ankle (DNP)
12/29/2012,Wizards,,Trevor Ariza,strained left calf (DNP)
12/30/2012,Celtics,,Chris Wilcox,sprained right thumb (DNP)
12/30/2012,Jazz,,Marvin Williams,right knee inflammation (DNP)
12/30/2012,Jazz,,Maurice Williams / Mo Williams,sprained right thumb (DNP)
12/30/2012,Kings,,Aaron Brooks,sore left ankle (DNP)
12/30/2012,Spurs,,Gary Neal,strained right calf (DNP)
12/31/2012,Bobcats,,Michael Kidd-Gilchrist,scratched cornea (DNP)
12/31/2012,Bulls,,Kirk Hinrich,left knee injury (DNP)
12/31/2012,Magic,,E'Twaun Moore,sprained left elbow (DNP)
12/31/2012,Magic,,Gustavo Ayon,bruised right thigh (DNP)
12/31/2012,Magic,,Jameer Nelson,sore left hip (DNP)
12/31/2012,Pacers,,George Hill,strained right groin (DNP)
12/31/2012,Spurs,,Gary Neal,strained right calf (DNP)
1/1/2013,Hawks,,Anthony Morrow,strained right hip (DNP)
1/1/2013,Kings,,Marcus Thornton (T.),sprained left ankle (DNP)
1/1/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/1/2013,Lakers,,Chris Duhon,back spasms (DNP)
1/1/2013,Nuggets,,Ty Lawson,strained left Achilles tendon (DNP)
1/1/2013,Wizards,,A.J. Price,fractured right hand (DNP)
1/1/2013,Wizards,,Trevor Ariza,strained left calf (DNP)
1/2/2013,Bulls,,Joakim Noah,flu (DNP)
1/2/2013,Bulls,,Vladimir Radmanovic,flu (DNP)
1/2/2013,Celtics,,Kris Joseph,sprained right ankle (DNP)
1/2/2013,Hornets,,Eric Gordon,right knee injury (DNP)
1/2/2013,Jazz,,Maurice Williams / Mo Williams,surgery on right thumb (out indefinitely)
1/2/2013,Jazz,,Maurice Williams / Mo Williams,recovering from surgery on right thumb (DNP)
1/2/2013,Kings,,Marcus Thornton (T.),sprained left ankle (DNP)
1/2/2013,Magic,,E'Twaun Moore,sprained left elbow (DNP)
1/2/2013,Nets,,C.J. Watson,right knee injury (DTD)
1/2/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/2/2013,Rockets,,Cole Aldrich,flu (DNP)
1/2/2013,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP)
1/2/2013,Timberwolves,,Ricky Rubio,back spasms (DNP)
1/2/2013,Wizards,,A.J. Price,fractured right hand (DNP)
1/2/2013,Wizards,,Trevor Ariza,strained left calf (DNP)
1/2/2013,Celtics,,Fab Melo,concussion (DTD)
1/3/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/3/2013,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP)
1/3/2013,Timberwolves,,Ricky Rubio,back spasms (DNP)
1/4/2013,Clippers,,Jamal Crawford,sore left foot (DNP)
1/4/2013,Grizzlies,,Zach Randolph,flu (DNP)
1/4/2013,Hawks,,Anthony Morrow,strained right hip (DNP)
1/4/2013,Hawks,,Johan Petro,sore back / flu (DNP)
1/4/2013,Jazz,,Enes Kanter,sprained right ankle (DNP)
1/4/2013,Jazz,,Maurice Williams / Mo Williams,recovering from surgery on right thumb (DNP)
1/4/2013,Kings,,Marcus Thornton (T.),sprained left ankle (DNP)
1/4/2013,Pacers,,Sam Young,sprained left ankle (DNP)
1/4/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/4/2013,Wizards,,A.J. Price,fractured right hand (DNP)
1/4/2013,Wizards,,Trevor Ariza,strained left calf (DNP)
1/5/2013,Bucks,,Sam Young,sprained left ankle (DNP)
1/5/2013,Cavaliers,,Samardo Samuels,illness (DNP)
1/5/2013,Clippers,,Jamal Crawford,sore left foot (DNP)
1/5/2013,Hawks,,Anthony Morrow,strained right hip (DNP)
1/5/2013,Jazz,,Enes Kanter,sprained right ankle (DNP)
1/5/2013,Jazz,,Maurice Williams / Mo Williams,recovering from surgery on right thumb (DNP)
1/5/2013,Kings,,Marcus Thornton (T.),sprained left ankle (DNP)
1/5/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/5/2013,Magic,,E'Twaun Moore,sprained left elbow (DNP)
1/5/2013,Magic,,Gustavo Ayon,bruised right thigh (DNP)
1/5/2013,Spurs,,Stephen Jackson,sprained right ankle (DNP)
1/5/2013,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/5/2013,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP)
1/5/2013,Timberwolves,,Ricky Rubio,back spasms (DNP)
1/6/2013,Raptors,,Aaron Gray,flu (DNP)
1/6/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/6/2013,Wizards,,A.J. Price,fractured right hand (DNP)
1/6/2013,Wizards,,Trevor Ariza,strained left calf (DNP)
1/7/2013,Jazz,,Maurice Williams / Mo Williams,recovering from surgery on right thumb (DNP)
1/7/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/7/2013,Magic,,E'Twaun Moore,strained left elbow (DNP)
1/7/2013,Magic,,Gustavo Ayon,bruised right thigh (DNP)
1/7/2013,Wizards,,Cartier Martin,hyperextended left knee (DNP)
1/7/2013,Wizards,,Jordan Crawford,sore left ankle (DNP)
1/7/2013,Wizards,,Nene / Nene Hilario / Maybyner Hilario,right knee tendinitis (DNP)
1/8/2013,Hawks,,Johan Petro,sore back (DNP)
1/8/2013,Lakers,,Dwight Howard,right shoulder injury (DNP)
1/8/2013,Lakers,,Jordan Hill,right hip injury (DNP)
1/8/2013,Lakers,,Pau Gasol,concussion (DNP)
1/8/2013,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/8/2013,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP)
1/9/2013,Bulls,,Kirk Hinrich,right elbow injury (DNP)
1/9/2013,Cavaliers,,C.J. Miles,back spasms (DNP)
1/9/2013,Hawks,,Anthony Morrow,strained right hip (DNP)
1/9/2013,Jazz,,Marvin Williams,right knee inflammation (DNP)
1/9/2013,Lakers,,Dwight Howard,right shoulder injury (DNP)
1/9/2013,Lakers,,Jordan Hill,left hip injury (DNP)
1/9/2013,Lakers,,Pau Gasol,concussion (DNP)
1/9/2013,Magic,,E'Twaun Moore,sprained left elbow (DNP)
1/9/2013,Magic,,Gustavo Ayon,bruised right thigh (DNP)
1/9/2013,Magic,,Hidayet Turkoglu / Hedo Turkoglu,left hand injury (DTD)
1/9/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/9/2013,Raptors,,Terrence Ross,sprained left ankle (DNP)
1/9/2013,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,back spasms (DNP)
1/9/2013,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/9/2013,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP)
1/10/2013,Cavaliers,,Anderson Varejao,surgery on right knee to repair torn muscle
1/10/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/11/2013,Jazz,,Marvin Williams,right knee inflammation (DNP)
1/11/2013,Knicks,,Marcus Camby,strained left foot (DNP)
1/11/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/11/2013,Lakers,,Dwight Howard,right shoulder injury (DNP)
1/11/2013,Lakers,,Jordan Hill,left hip injury (DNP)
1/11/2013,Lakers,,Pau Gasol,concussion (DNP)
1/11/2013,Nets,,Kris Humphries,sore left ankle (DNP)
1/11/2013,Nets,,Mirza Teletovic,illness (DNP)
1/11/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/11/2013,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,back spasms (DNP)
1/11/2013,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/11/2013,Timberwolves,,Lazar Hayward,illness (DNP)
1/11/2013,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP)
1/11/2013,Warriors,,Andris Biedrins,strained right groin (DNP)
1/12/2013,Grizzlies,,Quincy Pondexter,sprained MCL in left knee (DNP)
1/12/2013,Jazz,,Marvin Williams,right knee inflammation (DNP)
1/12/2013,Magic,,Gustavo Ayon,bruised right thigh (DNP)
1/12/2013,Suns,,Jared Dudley,right wrist injury (DTD)
1/12/2013,Timberwolves,,Malcolm Lee / Malcom Lee,surgery on right knee and right hip (out for season) (date approximate)
1/12/2013,Wizards,,Jordan Crawford,sore left ankle (DNP)
1/13/2013,Knicks,,Marcus Camby,strained plantar fascia in left foot (DNP)
1/13/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/13/2013,Lakers,,Pau Gasol,concussion (DNP)
1/13/2013,Nets,,Gerald Wallace,bruised ribs (DTD)
1/13/2013,Thunder,,Thabo Sefolosha,strained neck (DNP)
1/13/2013,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/13/2013,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP)
1/13/2013,Warriors,,Andris Biedrins,strained right groin (DNP)
1/14/2013,Clippers,,Chris Paul,bruised right knee (DNP)
1/14/2013,Hawks,,DeShawn Stevenson,sore right knee (DNP)
1/14/2013,Spurs,,Emanuel Ginobili / Manu Ginobili,strained left hamstring (out indefinitely)
1/14/2013,Suns,,Jared Dudley,strained right wrist (DNP)
1/14/2013,Suns,,Jermaine O'Neal,back spasms (DNP)
1/14/2013,Wizards,,Jordan Crawford,sore left ankle (DNP)
1/14/2013,Wizards,,Trevor Booker,sprained left ankle (DNP)
1/15/2013,Clippers,,Chris Paul,bruised right knee (DNP)
1/15/2013,Timberwolves,,Kevin Love,surgery to repair fractured right hand/finger
1/16/2013,Hornets,,Eric Gordon,sore right knee / rest (DNP)
1/16/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/16/2013,Warriors,,Stephen Curry,sprained right ankle (DNP)
1/16/2013,Wizards,,Jordan Crawford,sore left ankle (DNP)
1/16/2013,Wizards,,Trevor Booker,sprained left ankle (DNP)
1/17/2013,Clippers,,Chris Paul,bruised right knee (DNP)
1/17/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/17/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/17/2013,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on right knee and right hip
1/18/2013,76ers,,Kwame Brown,sinus infection (DTD)
1/18/2013,Celtics,,Avery Bradley,bruised ribs (DNP)
1/18/2013,Grizzlies,,Zach Randolph,strained lower back (DNP)
1/18/2013,Hawks,,Al Horford,left hamstring injury (DNP)
1/18/2013,Hawks,,DeShawn Stevenson,sore right knee (DNP)
1/18/2013,Pacers,,Gerald Green (b),illness (DNP)
1/19/2013,Bulls,,Luol Deng,strained right hamstring (DNP)
1/19/2013,Hornets,,Brian Roberts,sprained left ankle (DNP)
1/19/2013,Spurs,,Tim Duncan,rest (DNP)
1/19/2013,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/19/2013,Timberwolves,,Dante Cunningham,illness (DNP)
1/19/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/19/2013,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/19/2013,Warriors,,David Lee,sprained left ankle (DNP)
1/20/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/21/2013,76ers,,Jason Richardson,left knee synovitis (DNP)
1/21/2013,Bulls,,Luol Deng,strained right hamstring (DNP)
1/21/2013,Cavaliers,,Anderson Varejao,blood clot in right lung (out for season)
1/21/2013,Hawks,,Devin Harris,sprained left ankle (DNP)
1/21/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/21/2013,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/21/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/21/2013,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/22/2013,76ers,,Jason Richardson,left knee synovitis (DNP)
1/22/2013,Bucks,,Doron Lamb,ankle injury (DTD)
1/22/2013,Cavaliers,,C.J. Miles,illness (DNP)
1/22/2013,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/23/2013,Hawks,,Al Horford,sore left calf (P) / hamstring (CBC) (DNP)
1/23/2013,Hawks,,Devin Harris,sprained left ankle (DNP)
1/23/2013,Hawks,,Zaur Pachulia / Zaza Pachulia,sore right Achilles tendon (DNP)
1/23/2013,Lakers,,Jordan Hill,"surgery on left hip to remove loose fragments, repair a torn labrum, and microfracture to repair damaged cartilage (out indefinitely)"
1/23/2013,Spurs,,Tim Duncan,rest (DTD)
1/23/2013,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/23/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/23/2013,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/24/2013,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/24/2013,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/25/2013,Bulls,,Luol Deng,strained right hamstring (DNP)
1/25/2013,Grizzlies,,Quincy Pondexter,sprained MCL in left knee (DNP)
1/25/2013,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/25/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/25/2013,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/26/2013,76ers,,Jason Richardson,left knee synovitis (DNP)
1/26/2013,Bulls,,Luol Deng,strained right hamstring (DNP)
1/26/2013,Cavaliers,,Luke Walton,sore left foot/ankle (DNP)
1/26/2013,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/26/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/26/2013,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/26/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/26/2013,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/27/2013,Celtics,,Rajon Rondo,torn ACL in right knee (DNP)
1/27/2013,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/28/2013,76ers,,Jason Richardson,left knee synovitis (DNP)
1/28/2013,76ers,Kwame Brown,,returned to lineup
1/28/2013,Grizzlies,,Mike Conley Jr.,sprained left ankle (DNP)
1/28/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
1/28/2013,Nets,,Tornike Shengelia,concussion (out indefinitely)
1/28/2013,Nuggets,,Wilson Chandler,strained groin (DNP) (CBC P)
1/28/2013,Raptors,,Kyle Lowry,back spasms (DNP)
1/28/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/29/2013,Cavaliers,,Daniel Gibson,sprained right big toe (DNP)
1/29/2013,Cavaliers,,Luke Walton,sore left ankle (DNP)
1/29/2013,Warriors,,Carl Landry,bruised left shoulder (DNP)
1/29/2013,Warriors,,Stephen Curry,sprained right ankle (DNP)
1/30/2013,76ers,,Jason Richardson,left knee synovitis (DNP)
1/30/2013,Bobcats,,Tyrus Thomas,bruised left knee (DNP)
1/30/2013,Bulls,,Carlos Boozer,strained right hamstring (DNP)
1/30/2013,Celtics,,Rajon Rondo,torn ACL in right knee (DNP)
1/30/2013,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/30/2013,Hornets,,Eric Gordon,DNP
1/30/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
1/30/2013,Knicks,,Jason Kidd,sore lower back (DNP)
1/30/2013,Magic,,Glen Davis,fractured left foot (out indefinitely)
1/30/2013,Nuggets,,JaVale McGee,left tibia injury (DNP)
1/30/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
1/30/2013,Raptors,,Mickael Pietrus,left knee tendinitis (DNP)
1/30/2013,Spurs,,DeJuan Blair,right knee injury (DNP)
1/30/2013,Spurs,,Matt Bonner,right knee injury (DNP)
1/30/2013,Wizards,,Bradley Beal,sprained right wrist (DNP)
1/31/2013,Mavericks,,Dirk Nowitzki,strained right adductor (DNP)
2/1/2013,76ers,,Jason Richardson,left knee synovitis (DNP)
2/1/2013,Bulls,,Carlos Boozer,strained right hamstring (DNP)
2/1/2013,Bulls,,Joakim Noah,right foot injury (DNP)
2/1/2013,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2/1/2013,Cavaliers,,Daniel Gibson,sprained right big toe (DNP)
2/1/2013,Clippers,,Chris Paul,bruised right knee (DNP)
2/1/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/1/2013,Kings,,James Johnson,sinus infection (DNP)
2/1/2013,Lakers,,Dwight Howard,torn labrum in right shoulder (DNP)
2/1/2013,Magic,,Glen Davis,fractured left foot (DNP)
2/1/2013,Mavericks,,Dirk Nowitzki,strained right adductor (DNP)
2/1/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
2/1/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/1/2013,Wizards,,Bradley Beal,sprained right wrist (DNP)
2/2/2013,Blazers,,Wesley Matthews / Wes Matthews Jr.,sprained right ankle (DNP)
2/2/2013,Bulls,,Carlos Boozer,sore right hamstring (DNP)
2/2/2013,Bulls,,Joakim Noah,right foot injury (DNP)
2/2/2013,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2/2/2013,Cavaliers,,Daniel Gibson,sprained right big toe (DNP)
2/2/2013,Hawks,,Devin Harris,sore left foot (DNP)
2/2/2013,Hornets,,Eric Gordon,rest / sore back (DNP)
2/2/2013,Jazz,,Earl Watson,sore right leg (DNP)
2/2/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/2/2013,Kings,,James Johnson,sinus infection (DNP)
2/2/2013,Magic,,Glen Davis,fractured left foot (DNP)
2/2/2013,Magic,,Jameer Nelson,bruised left forearm (DNP)
2/2/2013,Spurs,,Emanuel Ginobili / Manu Ginobili,sore left hamstring (DNP)
2/2/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/2/2013,Wizards,,Bradley Beal,sprained right wrist (DNP)
2/2/2013,Wizards,,Trevor Booker,sore left wrist (DNP)
2/3/2013,Clippers,,Chris Paul,bruised right knee (DNP)
2/3/2013,Lakers,,Dwight Howard,torn labrum in right shoulder (DNP)
2/3/2013,Raptors,,Landry Fields,back spasms (DNP)
2/3/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
2/4/2013,76ers,,Jason Richardson,left knee synovitis (DNP)
2/4/2013,Bulls,,Joakim Noah,right foot injury (DNP)
2/4/2013,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2/4/2013,Clippers,,Blake Griffin,strained right hamstring (DNP)
2/4/2013,Clippers,,Chris Paul,bruised right knee (DNP)
2/4/2013,Jazz,,Earl Watson,sore right leg (DNP)
2/4/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/4/2013,Magic,,DeQuan Jones,sore left foot (DNP)
2/4/2013,Magic,,Glen Davis,fractured left foot (DNP)
2/4/2013,Magic,,J.J. Redick,sore right shoulder (DNP)
2/4/2013,Magic,,Jameer Nelson,bruised left forearm (DNP)
2/4/2013,Mavericks,,Vince Carter,illness (DNP)
2/4/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/4/2013,Wizards,,Bradley Beal,sprained right wrist (DNP)
2/4/2013,Wizards,,Trevor Booker,sore left wrist (DNP)
2/5/2013,76ers,,Thaddeus Young,strained left hamstring (out indefinitely)
2/5/2013,Hawks,,Devin Harris,sore left foot (DNP)
2/5/2013,Lakers,,Dwight Howard,torn labrum in right shoulder (DNP)
2/5/2013,Nets,,Jerry Stackhouse,stiff neck (DNP)
2/5/2013,Rockets,,Carlos Delfino,strained right elbow (DNP)
2/6/2013,76ers,,Jason Richardson,left knee synovitis (DNP)
2/6/2013,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore right knee (DNP)
2/6/2013,Clippers,,Blake Griffin,strained left hamstring (DNP)
2/6/2013,Clippers,,Chris Paul,bruised right kneecap (DNP)
2/6/2013,Clippers,,Jamal Crawford,shoulder injury (DNP)
2/6/2013,Hawks,,DeShawn Stevenson,right knee injury (DTD)
2/6/2013,Jazz,,Earl Watson,sore right leg (DNP)
2/6/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/6/2013,Lakers,,Pau Gasol,torn plantar fascia in right foot (out indefinitely)
2/6/2013,Magic,,Glen Davis,fractured left foot (DNP)
2/6/2013,Magic,,Hidayet Turkoglu / Hedo Turkoglu,flu-like symptoms (DNP)
2/6/2013,Magic,,J.J. Redick,sore right shoulder (DNP)
2/6/2013,Nets,,Jerry Stackhouse,stiff neck (DNP)
2/6/2013,Rockets,,Carlos Delfino,strained right elbow (DNP)
2/6/2013,Spurs,,Emanuel Ginobili / Manu Ginobili,sore left hamstring (DNP)
2/6/2013,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2/6/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/6/2013,Warriors,,Jarrett Jack,right shoulder injury (DNP)
2/6/2013,Wizards,,Bradley Beal,sprained right wrist (DNP)
2/6/2013,Wizards,,Trevor Booker,sore left wrist (DNP)
2/7/2013,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2/7/2013,Bulls,,Marco Belinelli,sprained right ankle (DNP)
2/7/2013,Hawks,,Louis Williams / Lou Williams,surgery on right knee to repair torn ACL (out for season)
2/8/2013,76ers,,Jason Richardson,surgery on left knee (out for season) (date approximate)
2/8/2013,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2/8/2013,Heat,,Ray Allen,illness/flu (DNP)
2/8/2013,Jazz,,Earl Watson,sore right leg (DNP)
2/8/2013,Jazz,,Gordon Hayward,strained right shoulder (DNP)
2/8/2013,Magic,,Hidayet Turkoglu / Hedo Turkoglu,flu (DNP)
2/8/2013,Magic,,J.J. Redick,sore right shoulder (DNP)
2/8/2013,Nets,,Jerry Stackhouse,stiff neck (DNP)
2/8/2013,Pacers,,Sam Young,sore throat / flu (DNP)
2/8/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
2/8/2013,Spurs,,Emanuel Ginobili / Manu Ginobili,sore left hamstring (DNP)
2/8/2013,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2/8/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/8/2013,Warriors,,Jarrett Jack,right shoulder injury (DNP)
2/8/2013,Wizards,,Jordan Crawford,DNP
2/8/2013,Wizards,,Trevor Booker,sore left wrist (DNP)
2/9/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/9/2013,Warriors,,Jarrett Jack,bruised right shoulder (DNP)
2/10/2013,Magic,,Hidayet Turkoglu / Hedo Turkoglu,sore back (DNP)
2/10/2013,Raptors,,Andrea Bargnani,flu (DNP)
2/10/2013,Rockets,,Toney Douglas,left hip pointer (DNP)
2/10/2013,Spurs,,Emanuel Ginobili / Manu Ginobili,sore left hamstring (DNP)
2/10/2013,Thunder,,Kevin Martin,flu (DNP)
2/10/2013,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2/10/2013,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,left foot injury (DNP)
2/10/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/11/2013,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2/11/2013,Clippers,,Caron Butler,sore lower back (DNP)
2/11/2013,Clippers,,Chauncey Billups,sore lower back (DNP)
2/11/2013,Hornets,,Eric Gordon,knee injury (DNP)
2/11/2013,Pacers,,Sam Young,sore throat / flu (DNP)
2/11/2013,Spurs,,(William) Tony Parker,knee injury (DNP)
2/11/2013,Spurs,,Emanuel Ginobili / Manu Ginobili,sore left hamstring (DNP)
2/11/2013,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2/11/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/11/2013,Wizards,,Trevor Booker,sore left wrist (DNP)
2/12/2013,Celtics,,Leandro Barbosa,torn ACL in left knee (out for season)
2/12/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/12/2013,Nuggets,,Andre Iguodala,right cervical strain (DNP)
2/12/2013,Nuggets,,Danilo Gallinari,sinus infection (DNP)
2/12/2013,Nuggets,,Wilson Chandler,tightness in left groin (DNP)
2/12/2013,Rockets,,Toney Douglas,left hip pointer (DNP)
2/13/2013,Celtics,,Rajon Rondo,surgery on left knee to repair torn ACL (out for season)
2/13/2013,Hornets,,Eric Gordon,sprained right hand (DNP)
2/13/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/13/2013,Nuggets,,Andre Iguodala,right cervical strain (DNP)
2/13/2013,Nuggets,,Danilo Gallinari,sinus infection (DNP)
2/13/2013,Rockets,,Toney Douglas,left hip pointer (DNP)
2/13/2013,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2/13/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/13/2013,Wizards,,Trevor Booker,sore left wrist (DNP)
2/19/2013,Celtics,,Leandro Barbosa,torn ACL in left knee (DNP)
2/20/2013,Bobcats,,Ben Gordon,sore right knee (DNP)
2/20/2013,Celtics,,Leandro Barbosa,torn ACL in left knee (DNP)
2/20/2013,Hornets,,Eric Gordon,sprained right hand (DNP)
2/20/2013,Hornets,,Eric Gordon,DNP
2/20/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/20/2013,Rockets,,Toney Douglas,left hip pointer (DNP)
2/21/2013,Bulls,,Kirk Hinrich,sore right elbow (DNP)
2/22/2013,Bulls,,Kirk Hinrich,sore right elbow (DNP)
2/22/2013,Celtics,,Kevin Garnett,DNP
2/22/2013,Magic,,Jameer Nelson,strained patellar tendon in left knee (DNP)
2/22/2013,Nets,,Jerry Stackhouse,illness (DNP)
2/22/2013,Pistons,,Brandon Knight,hyperextended right knee (P) / sprained right ankle (CBC) (DNP)
2/22/2013,Raptors,,Terrence Ross,stomach flu (DNP)
2/22/2013,Spurs,,Stephen Jackson,DNP
2/22/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/23/2013,Cavaliers,,Omri Casspi,abdominal pain / appendectomy (CBC) (DNP)
2/23/2013,Magic,,Jameer Nelson,bruised left knee (DNP)
2/23/2013,Pistons,,Brandon Knight,hyperextended right knee (P) / sprained right ankle (CBC) (DNP)
2/23/2013,Pistons,,Corey Maggette,flu (DNP)
2/24/2013,Bulls,,Kirk Hinrich,sore right elbow (DNP)
2/24/2013,Spurs,,(William) Tony Parker,sore triceps (DNP)
2/24/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/24/2013,Cavaliers,,Omri Casspi,appendectomy (out indefinitely)
2/24/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
2/25/2013,Pistons,,Brandon Knight,hyperextended right knee (P) / sprained right ankle (CBC) (DNP)
2/25/2013,Raptors,,Sebastian Telfair,flu (DNP)
2/26/2013,Bulls,,Taj Gibson,sprained left knee (DNP)
2/26/2013,Cavaliers,,Kyrie Irving,hyperextended right knee (DNP)
2/26/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
2/26/2013,Clippers,,Eric Bledsoe,left calf injury (DNP)
2/26/2013,Magic,,Jameer Nelson,strained left knee (DNP)
